centers 0,centers 1,score,MILLISEC
921.2795219607154,900.6114589544151,-61.169663342332484,242631
896.9633595110759,969.0892631744508,-1780.9267784185165,242664
935.5980460975281,854.4828845565019,-2686.184553950186,242698
971.902634840317,903.9358412207323,-1342.7950844829138,242731
919.9522442737933,1002.0733428320193,-1278.7832676090231,242764
1019.077166738796,932.8192205662335,-1058.7881792944747,242798
978.7210478798895,1050.8472642619809,-1153.385696893691,242831
1007.7577674039626,1035.056946927059,-156.07994701300626,242864
1032.1197511155474,1003.0319037797352,-91.27742872280633,242898
1039.8071351708354,1014.0007472277078,-158.69716059027596,242931
1019.1555725288727,1008.6317464763837,-29.67593338274233,242964
987.1160756469696,1015.2531208591209,-208.0081560979367,242998
1016.4909200103223,961.9537372213579,-387.6435014312892,243031
953.0357973591059,1012.0160094114815,-335.32798876684757,243064
1006.8511877039525,948.0732731000362,-656.1951241888703,243098
1005.1215373745868,950.0857301730281,-812.7061762463387,243131
996.5601228045717,946.4498891572038,-661.6652144239509,243164
998.904389861736,932.955831330517,-878.2901890576076,243198
896.2110808027669,989.8081207152909,-1219.0497908655232,243231
998.889900567349,895.8304787010024,-1711.4064943208703,243264
1033.0399833057645,940.4487699448789,-1182.1191107444315,243298
984.3224687931603,1050.1217906160364,-774.2820335528719,243331
1096.5324811723594,1065.0542870915485,-262.13211171798,243364
1157.851157771403,1267.4047252764124,-71.17993590771464,243398
1276.1197413755392,1476.4108282042157,-4360.349737564264,243431
1187.5524341202772,1441.7191127261926,-15869.864860019945,243464
1031.3714517825656,930.2687783646187,-3830.713791691654,243498
896.7434597344816,819.1003356010632,-1597.255501541085,243531
700.1335586871979,836.9092456171809,-2688.6584019244347,243564
917.1984509862518,835.0952882134969,-4186.581827689809,243598
1009.1030670848246,957.448601790519,-660.6997175207114,243631
1078.9207570530841,1041.2462330017943,-316.1290382935112,243664
1054.600396227803,1099.0685395199534,-905.7037034367846,243698
1023.2903399639591,1103.4806896765508,-186.3754312622799,243731
1075.4248858979,978.5040532324912,-1198.0830057362039,243764
930.0684223507407,1013.9998942200485,-2372.103057199878,243798
920.7916553023456,985.7979840876726,-551.4587571751915,243831
990.6994529772049,952.9034578591894,-328.3754826673824,243864
1077.7666723368282,991.9561090553354,-207.310831198257,243898
999.0590685607298,1055.583251098652,-584.9101062682593,243931
999.4715073856646,1015.5185867329067,-48.82369690909488,243964
1016.6407146787177,987.8025021436591,-426.9647912710859,243998
1041.1143210027747,984.6102229958435,-372.32935294528374,244031
1012.2113942176562,1058.365749295881,-59.00898400268485,244064
1037.1567599277396,1028.4011433120834,-37.97597558595208,244098
