center 0,center 1,center 2,center 3,score,MILLISEC
511.1195485298585,133.7796696064092,410.4473169604109,603.9958609129702,-0.6142212672616746,47233
507.2875183609713,173.62315513778685,721.1920687306538,598.218187620537,-241.74743033438577,47266
459.56590887473567,779.2284645724898,149.38540758722053,696.8830604915003,-269.35080027636104,47300
155.983973535745,656.3573721685466,1004.1981876103939,413.2747339405702,-1550.9885727019137,47333
807.5332810479083,414.2305722092875,1299.1647316641565,269.9740728292256,-3054.0660943324965,47366
799.5936467981721,362.30873646988647,1389.892441881745,547.4687205676686,-4744.758955188732,47400
230.48043743404196,1302.115970257642,594.3206205407987,659.7037213780137,-898.5359204253714,47433
637.8549991965259,201.7628074014989,1019.6832841622931,454.2389239155975,-314.53909893133067,47466
430.26619667364065,178.31130052607494,254.7508586835381,207.44637861384805,-48.16020939956343,47500
303.1430710141574,160.84153692376856,90.24411338142782,205.0609665440988,-744.5569922110064,47533
526.3487437051598,153.75861659550628,408.33931968400987,108.56334556377672,-46.57564527218503,47566
145.65167220802937,731.0923334299164,400.50218476307964,111.89727431890378,-37.18076600953837,47600
67.00090350236923,697.8839445065347,200.3272322975586,293.7243605831835,-127.75785973241922,47633
234.91321168311288,526.6421935242181,125.95634164265013,54.77225575051662,-730.5659534499894,47666
126.84636376341263,186.6103726706594,241.45807089430662,73.60706487831179,-429.13762343523643,47700
224.5773808734976,145.70518178843196,83.34866525625951,185.06357489665564,-206.94649293985916,47733
97.97256584968915,282.2268591045154,221.37072977247917,176.6069081321566,-528.7526816566508,47766
120.02083152519816,345.8178711402868,210.27225285181123,175.35392781457733,-62.159361247932026,47800
255.05097529709624,143.31174147755667,362.0469582802761,279.0913828838146,-111.4895093399255,47833
26.24880949681338,355.33083176105055,167.27794378399005,218.84012429168467,-301.17904680052686,47866
55.98214000911361,229.70851094376107,370.7303602350366,173.02962557739085,-83.49734509586193,47900
95.60030068654976,322.7832089808886,237.74986855937482,385.12984823303424,-1370.165017282554,47933
223.9483655648952,442.07239226172,59.126981996377936,571.0070052109694,-152.2591216241392,47966
277.02346471012163,950.9242872069259,504.09740901943815,100.50373127401787,-2.604439778578236,48000
917.75486923252,401.2201547363344,52.668776329054765,679.2503220462984,-5746.774866703832,48033
931.7559232784024,473.25785783228156,71.57513534740957,390.95396148395787,-2105.798871223954,48066
