centers 0,centers 1,centers 2,centers 3,score,MILLISEC
675.5567143577621,785.4139036202504,744.1202859753254,710.1696980299849,-0.2513722900014941,50633
789.5790017471336,678.2702513194827,713.8648331442024,737.1499169097152,-26.93235001160387,50666
719.2808908903392,788.9119088973116,681.0264098658777,736.6036926326124,-24.05813038733375,50699
791.6211214968939,680.9081355704609,737.9457974675375,720.2631463569409,-26.221827917519455,50733
681.0905624442191,789.7024756197742,742.8620329509376,721.923818695574,-18.291498834246994,50766
789.6594202566066,681.3899669021364,720.4949687541198,742.2438952258213,-10.426010210790034,50799
682.620762512103,737.8387357681894,794.9748423692413,723.4590520547794,-14.789174789921418,50833
796.5010985554258,722.9751033057778,683.9864946055284,740.6463393550258,-12.950394482687877,50866
683.8119648934428,742.9939434477242,795.7845185727101,722.0318552529383,-45.39333713810861,50899
757.88983368297,686.8441507964565,797.0332489927882,719.301744749726,-72.22503338919961,50933
687.184958376246,798.2286639804412,764.3193050028241,720.0868003234054,-78.6659628741587,50966
802.1358987104368,689.1888317157961,755.2860385310985,721.7624262872098,-152.50847643220493,50999
761.2502873562676,692.1579546192643,804.0951436241858,723.2551417031199,-193.73171455292288,51033
717.6935683963068,809.6826538836065,682.7049142931373,764.9555542644291,-149.88376515120245,51066
721.7943649707852,779.2823621768941,815.8835701250516,683.3878840014652,-44.78939284188807,51099
725.907333035058,838.1294649396357,781.735249301194,683.9480974459977,-8.087691858796799,51133
687.39144597529,782.860140765897,859.0727559409622,724.6570831725076,-26.223615827013088,51166
886.0987529615421,690.2934158747279,783.5138799025834,722.0291916947754,-37.692681178696326,51199
693.4644907996371,918.949400130388,788.4370615337663,719.8559894010089,-52.70904698943347,51233
719.6172299352065,949.8305111966029,785.0643285744169,696.0653704933179,-30.084760760382743,51266
786.669562141564,970.967043724966,720.2803987477398,697.5342285508289,-74.29435959365847,51299
728.2073880427196,985.4359441384305,795.7468190322849,706.2039381742698,-52.99541430428356,51333
708.0785569811734,999.5824128104696,797.2559187613473,730.7455097364608,-67.51428691840101,51366
