centers 0,centers 1,score,MILLISEC
713.6856004398711,810.1362553623089,-1862.0866694135138,36433
712.4805036160859,813.5823292634661,-1522.1829213715641,36466
712.7448594732213,817.3427377827554,-1682.9938710741453,36500
819.58916049354,711.2883437025029,-1575.8923418387228,36533
820.4391292254878,710.0002280665022,-1771.2989079908643,36566
707.4074667881158,818.9104738259957,-1673.2995134292123,36600
707.2920977787022,818.9711578067875,-1805.1506206287102,36633
821.9189309606045,709.0628672339064,-1798.092787248863,36666
824.3465555705307,708.9283408146539,-1599.3354073496762,36700
824.8909829636482,709.6054819931232,-1825.9122264539733,36733
826.9405299960417,707.3712754007331,-2249.3559135518094,36766
708.9432343737769,830.6277997445848,-2291.3878898840057,36800
710.0798372790748,835.3308711571772,-2055.545452751123,36833
840.9906604381962,711.0886646209749,-1928.1512541295401,36866
711.6007005700588,846.1868853644132,-1941.8389191512065,36900
710.815540015609,853.1898065757797,-1890.112127321907,36933
712.8354305264312,861.9824280518253,-2007.5344183516904,36966
716.0959016126137,873.0853208687735,-1908.0240477951484,37000
881.9614599872914,717.0040785707766,-2087.420132785253,37033
719.3588410753396,891.3663157257284,-2489.755679314778,37066
721.2404080049072,898.965471234476,-3072.984639098111,37100
904.951820582232,722.8649987791046,-3470.985470063258,37133
726.2038018107713,911.8930684088182,-3815.178282646894,37166
916.3955605848811,727.9192676009526,-4388.97264652107,37200
729.223979426794,922.4940294400125,-4855.694781910795,37233
729.8929738380655,922.743116890811,-5055.020686737134,37266
925.4653064721679,730.3267657252577,-5130.378828606628,37300
732.3579238947767,928.1813600674279,-5329.339572356421,37333
931.1374148527901,733.0957240120065,-5740.207628462179,37366
733.8667466048503,933.3117065457113,-6389.311532301528,37400
731.7888765516135,933.1747981339827,-7356.712721183416,37433
732.0928094138927,934.6828730569932,-8910.208841270756,37466
734.596443158651,940.5696227291944,-10002.766694098433,37500
942.64336337028,733.7381469522328,-11888.974109243893,37533
945.7008220565165,733.5350097366727,-13147.078795116631,37566
766.9648684528372,1028.5762003857565,-14871.562236488502,37600
1033.9540608750467,766.5304379933011,-14490.35051919208,37633
765.406717024312,1035.9927605924668,-13319.230136259444,37666
764.1079922813119,1037.210200489756,-12708.904527290155,37700
762.6061574437178,1037.6324011903253,-11959.394515710017,37733
1032.2058903145244,760.0297502322924,-11821.115047357376,37766
757.7856922310357,1018.5926565610023,-11480.378599720423,37800
756.7273845029104,1006.4198924902071,-10974.662173537778,37833
754.3587761249092,990.051008786921,-11185.34753331609,37866
726.6335269890949,904.760830074156,-10517.833093212725,37900
895.2245261359813,726.257529263933,-8382.099171557962,37933
725.4491030492137,887.0833636583598,-6791.008496414774,37966
724.9418053149273,880.0718285825191,-5863.289791044891,38000
723.873429168186,873.8688156443709,-5158.361721482722,38033
723.9586315896527,867.4917306760956,-4373.8936576975275,38066
725.4454659112571,864.0078723567469,-3582.420977532063,38100
724.8282443577148,859.4913788705658,-3075.18783828592,38133
725.1465050852806,859.0933877826373,-3079.7406241118842,38166
858.2549197870378,725.9619862914874,-2971.568701845211,38200
859.0445069716814,725.4486090661662,-2919.0168954560313,38233
722.627837730399,857.9373191741221,-2846.137147905469,38266
861.0192709213004,725.0523246243878,-3088.009874618618,38300
726.4963147238859,865.494046269202,-3374.425822966128,38333
871.2971428036715,727.0825353156363,-3939.538401276436,38366
727.0578098019699,877.7861468202232,-4924.784518898533,38400
727.665096643507,884.5688856360086,-6183.294509726534,38433
727.908860065266,889.5868769930132,-7622.450879089785,38466
958.6584376095586,755.022729518819,-8766.711639809282,38500
754.0561234659081,972.0272629921446,-8236.45065426919,38533
752.4101226608899,989.3204738607202,-7897.029269698224,38566
750.6688123577133,1016.2519372675262,-7865.336613841498,38600
750.5281214198902,1049.7718799815511,-7454.155831722169,38633
751.1236124084145,1079.269197188542,-7143.275530135866,38666
1100.5584945835456,750.7464337377296,-6916.168920323206,38700
751.1357448326283,1103.0471431448432,-6414.371338930451,38733
752.4435132334156,1100.8419505087913,-6324.037571818537,38766
753.4353502467659,1098.2645400813049,-6249.691994132374,38800
1090.7034427377591,752.1891418757194,-6507.979377075351,38833
752.3758218772323,1086.9172001583192,-6811.490618236798,38866
1081.4790797791698,753.5561641340843,-6688.429982099897,38900
753.5722694327443,1076.7195549445548,-6236.3389679340025,38933
755.1910381196242,1069.3404509322556,-6381.983775217558,38966
810.5555449799089,712.7573573288513,-5485.024654153291,57899
807.6865732674573,712.7013337819158,-5800.815741373341,57933
826.4456381115868,733.9008785343374,-5649.715952247434,57966
860.5637687004955,747.4798152113528,-5051.703406406868,57999
859.7720628166514,746.0251235576641,-5175.060083088279,58033
746.6969789494096,859.2909868024917,-5047.486511299425,58066
745.4743510654714,858.5743998046995,-4421.967614056724,58099
858.1963644761029,745.3613539308685,-4424.808265370485,58133
746.3805225067756,855.9696256293211,-4144.4624900502995,58166
747.8974328369495,856.1939032719165,-3994.719823602761,58199
748.2109608512336,854.3588239141678,-3962.432248295267,58233
853.5215287267217,747.4346162504398,-4258.977722230758,58266
819.4660807044404,735.0066247103697,-4032.4700454166577,58299
818.99926336219,735.2366483720225,-3958.625896404494,58333
820.5533313059584,735.702846999377,-3650.4237164216597,58366
821.7426749276553,736.565397937361,-3308.1960896143855,58399
821.4820674612847,738.3140244188944,-2908.6297181952386,58433
739.1352116338121,821.2815999088872,-2769.484071316697,58466
741.1380663895035,823.4370692984888,-2548.885455515462,58499
740.827959007313,822.8980370289802,-2736.4467668792363,58533
740.9125866711184,821.4245435164619,-2747.0553544811173,58566
722.8331033710831,805.7811309845578,-2815.91618959902,58599
803.6016333863172,720.9983936706816,-2574.8771051227877,58633
804.7678736563226,720.9892045151421,-2328.142537288217,58666
803.3630809233044,718.9636280376906,-2365.8837460109917,58699
719.1894803761262,802.0393464013658,-2331.6431048445984,58733
718.8205459107701,800.7395437907757,-2167.59458230603,58766
800.7167948630989,717.4601411331826,-2382.7350428055693,58799
799.5579102417024,716.0897679029831,-2147.333119068574,58833
799.321132640529,716.7178651059219,-2000.1844188051748,58866
716.6789756986587,799.4533982188418,-2036.2838120806505,58899
798.9092419220341,718.9688022558494,-2057.792280261423,58933
719.5038172605958,799.8320139359467,-2148.7623443650796,58966
800.0535822333767,721.3625401384154,-2116.9680367308133,58999
720.921621726638,800.4430301698828,-2058.8970114366193,59033
802.0607145336,719.7177667645283,-2142.5030125129856,59066
722.6408972506857,803.3037730445196,-2274.411878764423,59099
805.2692254833136,722.8290435322617,-2277.771120984361,59133
806.3356000721093,724.4145653695931,-2457.775129821457,59166
806.7937634327241,725.1689892937202,-2608.3437916334824,59199
807.4849827631716,726.7151272126878,-2877.2555963752425,59233
730.8191742885056,809.2507048416552,-2911.559124386662,59266
809.0622979174201,730.3262009731909,-2986.8746098836264,59299
