centers 0,centers 1,centers 2,score,MILLISEC
1009.837881089617,1108.4173401747196,1068.7015486093394,-928.0852478923975,278397
1043.0157740919126,1008.4545444304424,1109.8310682261513,-1335.6445316084644,278431
1029.2189862823882,1082.5680597076282,991.1166906904626,-830.5781612000342,278464
972.3966864329828,1013.2677479539999,1061.3401924087466,-1010.8703353720871,278497
965.5326272657514,1047.4767820615973,997.5108426467361,-1741.903315302457,278531
1049.031676433578,980.5426325459421,1098.942018451179,-1772.6745635840136,278564
983.0395773783033,1047.4181407371475,1134.5307399978196,-3068.237106818914,278597
1117.7229578155677,993.4331956728529,1050.0784380692808,-1778.419098110188,278631
1003.1826305519726,1172.0230990849248,1100.0464735907367,-6162.882249980929,278664
984.5567659685153,1122.1591444088472,1227.7992506920666,-3911.026060097375,278697
1125.2528651594048,1052.0547182673117,945.8377239251985,-2795.176431123617,278731
1084.0975024263407,1004.736753567493,1228.287018575056,-6622.757115810342,278764
1051.103716770014,1332.5411813523813,991.6687190360918,-1822.116108730408,278797
1044.1493229331209,1124.2677686843,1001.2017615186213,-3010.008180430773,278831
1016.8204728579469,1118.7913921622255,1051.4784186834868,-2112.8298354880876,278864
1045.0740154830617,1182.5870593233253,1103.4266287368814,-2185.905030007676,278897
1163.1170237859703,1019.7701043251402,959.0549720002784,-5502.803558194807,278931
1048.9873782853117,948.0762336880712,1116.4271302666916,-5467.121980601771,278964
970.9464980683467,1097.9670136474792,914.480669667752,-6442.985873475395,278997
1030.917910946065,957.3403603044794,1150.3627053893538,-4761.508321426663,279031
1026.5925169699697,1397.4251321627216,961.1289034711504,-4295.748256953295,279064
985.8478679374967,1043.9558755005396,1160.9552101610122,-5040.407730160088,279097
1026.6191480326006,948.9796935316158,1164.839473919046,-3121.0816718183755,279131
1021.5875970037616,948.7580274981058,1118.2526548146443,-3532.0873102691644,279164
968.0506736317826,1029.2095432605915,1093.3553859564602,-2483.046711883146,279197
1034.990940520245,990.4300120956735,939.7004841969595,-1201.3590050583678,279231
1035.9345148493885,958.7943304111598,986.3460058533692,-625.1224310611495,279264
1050.849319226613,977.5520066482886,1129.2054728879064,-2202.644928221742,279297
1001.4050709405808,1055.4260438346364,969.1562931246125,-745.6650538993946,279331
1106.015370598438,964.5298062238859,1024.4483230139322,-3550.4318982743134,279364
1059.7985936783998,1002.427645806114,883.6022860993514,-2047.526977142708,279397
1032.206870849387,974.1512835762663,1096.0428823727655,-778.6605193560744,279431
967.406828013131,1093.984003539357,1025.0138375836652,-1981.9130263351346,279464
965.0078235292198,1082.6605282385112,860.0127906025584,-11022.965742349126,279497
1168.2686114470805,842.3283207870907,959.6365889533485,-6865.011978518018,279531
1254.655074006678,815.3294544904929,1019.1198126056363,-28540.893274856404,279564
1109.4078804219546,1266.3298093361125,864.2042582630567,-18723.503351256368,279597
1890.042592112675,969.1163828520353,1277.5000423401839,-65814.9808769978,279631
992.9995182695728,1200.9932398657634,785.4476430673149,-30554.41040498461,279664
973.886972374908,1064.6071197249653,1135.1447259918154,-6222.735836292207,279697
1059.2301713810214,1562.0560169212883,818.8497230455646,-56836.81442546144,279731
997.0325027855096,1403.793075919667,1118.921217625367,-9544.124609635008,279764
987.590956615075,1168.5312232188323,1043.1989773488076,-3364.7428776275747,279797
920.4182761404986,549.2913616651913,1071.771623114101,-27552.09699202893,279831
1168.4274976591842,1108.4133119808512,1050.0873416881118,-2001.9588543278903,279864
1067.524545117201,1134.9516733605924,1029.2902241435163,-2280.664063909734,279897
1043.5983947522402,907.1460742350154,1003.1580655245574,-776.9251153966662,279931
1052.673109103336,1005.0880706995982,954.7209175304163,-1028.091429422991,279964
1050.5020322787252,999.0629908138219,931.4531657576778,-2219.763029918877,279997
1084.0309676647291,982.2511688912634,1017.9321755261109,-1390.9372102489137,280031
1005.4576323197155,1095.772889457343,1048.0241932765957,-1739.7994354412788,280064
1071.6426908402866,1025.150995401286,1123.0422966211024,-2428.885900036837,280097
1039.7259736363033,1110.752305752254,995.0815705975855,-2163.0325794780397,280131
990.1937184605265,1043.9510517471813,1107.5657993997468,-1019.2057517104932,280164
1018.3781403537789,976.1665364380532,1100.2954148772956,-688.2819405690966,280197
1000.7067879402299,957.6765054517243,1061.3602624451405,-1149.4667441718027,280231
1064.8601440837188,962.2379895887883,1015.0382959879651,-2508.679055781472,280264
1171.1424108074846,992.4116126910362,1093.2918744561414,-2220.2101605703774,280297
1236.7493683038613,1044.2818014102193,1139.9526763270944,-8618.07489061148,280331
1164.3713296606672,1010.5785963774946,1088.307330525598,-2351.1871245048283,280364
993.5728003190882,1100.5829716735047,1207.3909888681462,-5847.096638246475,280397
978.3768659964317,1164.8201577926097,1053.5605032108028,-3125.5447596010354,280431
1086.0392997487054,1139.2898574837457,1031.7059031315498,-3356.1372834168774,280464
1157.454526287733,1023.9875845790691,1266.8452321151137,-5511.258417464778,280497
1065.8482275982574,1238.0121503843866,928.3587668568655,-11656.63658145417,280531
1074.470360014717,987.9194790582231,1175.134928974832,-10412.546946127564,280564
1021.2668471268166,1239.2066010153433,924.2784141097088,-5920.814601273409,280597
944.0354370714851,1495.4654793742316,998.2249499301055,-3730.214451442639,280631
1010.381558450987,1165.718221619962,937.6330431642798,-7110.692743127567,280664
1047.2857780081044,937.6229835875561,1326.0772978978262,-10861.916218823046,280697
924.3349022069137,1068.806956554343,1259.092530356685,-10396.4940926109,280731
1035.0219417097808,1121.4604296123998,974.65518850694,-3766.522549606736,280764
1104.5229205354406,1020.5234070008563,888.7530590664653,-3457.184379136254,280797
960.9501335043822,1070.974127927645,1021.2341723199694,-2002.1775040372065,280831
902.2671444755151,1051.4752745884227,1016.6503313934938,-1039.2530335001597,280864
1057.6711213918616,984.4130232989007,1027.051428367222,-616.4136296835557,280897
1043.5428622420554,989.7171331952813,859.9877906110063,-1166.454616861757,280931
1028.712968575981,865.2658550988823,965.6833341373608,-4298.562378956219,280964
997.4373281988661,915.0448461136731,1063.4895955617765,-3628.15749019962,280997
1037.8581831448903,1104.2332181201577,965.9295118342255,-1827.0627459023174,281031
967.5163312686677,1132.6242502852128,1063.5426518231884,-3734.1887487691893,281064
1094.7081959412055,1185.7714238746153,1004.8124339716074,-3617.9862816110135,281097
956.2607903088935,1273.0384911698468,1056.2633066221392,-8014.113841519281,281131
1533.8777656645266,1022.3286975030952,852.62594377605,-17927.308354624336,281164
