center 0,center 1,center 2,center 3,center 4,center 5,center 6,center 7,center 8,center 9,score,MILLISEC
973.9040816870852,5950.229995554793,3448.9775296455614,508.05753362434996,1416.1126154839785,1115.5846865835276,673.5537796933152,831.5865954115068,1037.1174277564332,903.1787548608816,-5787.518567135997,290430
620.1306313995464,5212.441366576702,3273.067826978231,1007.1398039648826,1258.0230522530182,884.3304001194132,476.2930237963302,1058.9032786706348,1383.5436386323345,1169.387924941962,-6757.590429004374,290464
1038.6586770762478,5773.759260655054,2853.2095962266776,679.8516031897828,913.7875345480186,827.7845733381113,1147.0575399691159,575.9322876866689,1095.8197844536298,997.297857759741,-5449.621031836099,290497
899.6849448556978,6704.802085073055,2393.5734791311506,540.313136076782,1971.9852940628132,1023.8065843123395,786.2514311679073,950.8835080974341,695.0978348405353,1080.8478153745789,-2008.5654827525923,290530
995.1988112295651,5490.777176320306,2664.3169856456643,476.94234452394767,1676.7495340688185,919.9922137326289,667.4646058031841,1085.3495964348183,562.8792055139362,823.0370587039201,-4747.204915535033,290564
858.527304422267,4644.430104975206,2345.0275051691824,1060.8275154685261,1263.4223831007798,698.2861081483784,974.1502682208429,1024.8139761638654,893.223936087698,927.9229493875017,-1381.3578654166945,290597
1093.3590444131332,4085.266331587207,1940.049741630353,892.1563380243019,1444.005010486803,728.0734853021362,1025.4947630749375,960.2010299726786,824.855748193926,1371.0320929868856,-5428.5631254842365,290630
889.3170269743399,3349.605499159565,1270.5294172115812,2023.654367721919,1049.965467639279,1448.317644717484,935.515808690762,1090.8156200435312,1327.620427682551,998.5746327802515,-2623.7597854526184,290664
2850.9650997513104,1208.9208288755035,963.5344196096512,1746.0246275468166,1419.2864404340655,1011.4317053748681,1117.6985282266412,1298.1390526442074,1159.5326644816869,1244.4540971847857,-1612.82456180358,290697
1014.3496916432164,1917.0375583175203,2518.3587909589055,1264.4505273061884,940.5825953201384,1766.5248370741917,1406.9378095708423,1146.451045618608,876.199178269416,1071.9351659498816,-2286.5213849871498,290730
1078.881926938458,2649.0596444776397,1632.052082502271,1289.9080383208882,1776.565788255532,953.2722353841841,1940.6859612003175,1443.9245132623796,1148.0365847829066,1014.7563776319025,-2343.1523724571607,290764
1135.4999480140855,2434.0577232267933,1393.6918218596638,2847.0997523796036,2088.7029468069413,977.6101161960128,1032.7521483879857,930.4009686791585,1071.5912888642708,1323.5206836313514,-1923.443330575351,290797
1149.336720917242,2962.0523290448464,2071.073634615631,1486.9811700220014,1041.4654979681018,981.3281208977962,1381.7890577074345,1080.5449833872499,1194.511442095902,1435.0947703897468,-1985.6945965031923,290830
930.1240385174183,2686.621856532847,1479.0749411114834,1120.3747398911817,1020.2286689292202,839.1048802146249,1359.8286169511018,1571.5489174696409,1199.485368661743,981.0713211210972,-5952.7266111370145,290864
1026.454390244478,2143.300725516604,1418.0331448876645,794.7842177084831,1169.138145148222,1093.20797691087,981.2925652846662,1344.1714920351494,1472.1158242475353,913.265021776264,-2420.027384257616,290897
1205.3455935954635,1035.6085678858913,1685.6959986901552,839.8297446506643,1153.4125886023226,965.8317758754999,1098.892429747086,1266.23084363726,1067.6770987401019,990.080709014884,-484.7413389751519,290930
1562.9760074933972,1069.9030776890188,955.615036383334,1150.728118047464,809.7907137032382,996.4142381020872,1097.7967835471904,1043.2976250088313,927.2545497327042,1129.872116657456,-265.0566857433281,290964
1070.9283997256412,947.7483843299339,1157.8937775115644,819.6859154578661,1102.1452274298026,981.436049454619,911.1093451642002,1203.8546423883574,1032.7696723879808,864.3685556520436,-889.7356175031128,290997
1003.9497340382268,716.4607456099741,1139.4981351454683,825.4325206793674,1047.6875039218394,1086.0703886634244,939.2874959244374,878.6677415269096,1174.1780103544777,748.9899865819302,-1019.603577385396,291030
1125.3150669923511,898.5851001195467,1014.2359161414827,718.3738338844942,1075.4341377390604,956.9313660478372,1056.0362341086532,858.0209787645055,981.5666837792714,1092.5648722158332,-688.7510313813497,291064
1084.8142698176496,773.475059810038,428.2942913464993,949.2540169207591,601.884540422829,855.3733378037484,1016.3899832272198,989.0101946570945,919.7431374854318,1049.5057606194857,-1184.7180396048655,291097
915.782384006842,217.51321798916035,1512.1914561324568,1079.9923276190088,599.3838502996223,989.716691647254,837.2329033495947,1168.6376683985502,726.6498469001422,538.3409700180732,-4588.855000359157,291130
622.3608278161472,1012.8769640051888,44.766058571198755,1201.0888497501069,729.8325502309881,1119.8084657654629,920.3537363427173,1256.503020148688,976.5714351296647,1045.596893824471,-1413.2621054545325,291164
1094.4548290136365,722.8706661637336,89.0673902166219,937.2936091469389,1271.2753438968286,566.0159008367168,829.161553297819,1022.5673543859723,1201.4254934167593,990.1137455297232,-3491.255169318987,291197
187.8932816859408,1095.8683520298855,787.4782536679982,1347.5644697008006,972.0933088552298,1203.5823059769268,914.0544158663774,820.6466738507457,1150.2889875671062,1054.6568933990743,-2320.9709690064938,291230
1045.1874815144276,210.95971179350806,1597.992803488176,852.1835968432117,1293.7008602911073,1143.754445454931,327.3988393381992,932.5038595796698,1708.109481268692,755.5269684134379,-6598.13473330502,291264
1039.4397781107878,2228.408625005746,181.64525867745624,1312.0152438138819,923.0617676918628,791.8213182277931,1102.1004191573516,1397.4079576129513,1194.974895133785,983.8925690666985,-3201.683126314443,291297
957.7698485414451,2342.967562728942,235.42514733987105,1290.068215250651,1096.6904197321032,794.2052631404554,1017.8895389328421,910.4914857227627,1239.891930774614,1145.1942893509536,-2415.7083097210275,291330
2647.0831116532777,972.3799388643237,244.73250703574297,1186.0293116257947,644.5626424173216,1091.957476296468,867.6762068882608,1026.8363485962345,724.4315012477025,1062.9777338723034,-1854.5365233586763,291364
1038.6602554489623,2797.416129216388,220.06362716269132,647.4542454876638,1296.762248321757,958.7298542301695,1141.4206060869938,1090.175613590381,912.4587661916564,984.1695078425271,-618.1875472419721,291397
875.7320441640445,2738.7632245230693,1115.4224579060644,142.44648117802,1448.150889928256,565.0805252351208,1028.2017004528213,973.9607469498382,909.1768381165513,1064.3691858130308,-1572.3239406925159,291430
1133.1594480443946,2964.019062016977,380.1203669241711,876.9199134254359,1499.942998916959,995.1305675504685,1259.6697980026354,800.3911543739099,934.8567715786897,1059.6019331389834,-3011.667770048164,291464
981.5901734339374,3661.4230839934353,174.6396289505907,1204.6263879654337,593.2377263795687,1498.0263682592506,911.8801151601523,352.2570084469577,1049.9933930365682,828.6935501136714,-3651.527548662574,291497
1041.890610593954,3795.9764224768305,328.7434812326077,1749.5005001428265,832.0639890541587,1144.4780469716316,947.6300066885092,719.113342943934,1183.7622227457675,1088.9186431516082,-3082.456293952354,291530
994.5853659854191,2943.3071535264544,1915.3686329268317,301.0963301005179,759.2938593381195,1069.5059048347118,420.00595233877334,1159.467340881974,906.2830683621977,824.6653866872308,-3679.1071793708384,291564
1060.7819956478245,29.849623113198618,2073.2146536236905,932.9051259574915,1682.597099724114,419.8737905609255,788.1814511900162,993.9199543063132,1131.5067338801127,848.0539279654296,-747.5904981162344,291597
955.1918864273363,292.15920317525513,1953.5705771740113,1349.9151591783777,591.2909605262032,1043.0702400270745,830.495441485449,185.9166479904368,1114.2499719542288,1009.7893695596391,-5377.17852947162,291630
