center 0,center 1,center 2,center 3,center 4,center 5,center 6,center 7,score,MILLISEC
874.5418910811316,3448.9775296455614,5950.229995554793,1115.5846865835276,508.05753362434996,1416.1126154839785,999.1894201148244,673.5537796933152,-16733.155866225417,290430
1198.9329673789807,5212.441366576702,3273.067826978231,620.1306313995464,884.3304001194132,1029.324150267348,1383.5436386323345,476.2930237963302,-16588.403019401012,290464
1024.330342907876,5773.759260655054,2853.2095962266776,827.7845733381113,679.8516031897828,933.6962693616204,1121.438662211373,575.9322876866689,-10302.319577671222,290497
1030.9367381951192,6704.802085073055,2393.5734791311506,695.0978348405353,1971.9852940628132,540.313136076782,940.6437954490868,786.2514311679073,-6952.58907112586,290530
519.9107750189419,5490.777176320306,1085.3495964348183,2664.3169856456643,1676.7495340688185,889.505578973296,986.8296089815129,667.4646058031841,-15599.076558184035,290564
867.2014623386247,4644.430104975206,2345.0275051691824,1060.8275154685261,1263.4223831007798,698.2861081483784,962.5934385125076,1024.8139761638654,-3886.9738070011786,290597
760.5197183259386,4085.266331587207,1419.6807046534973,998.0975061021492,1940.049741630353,930.0024556753045,1062.157653627266,853.5276968469061,-11139.514124289984,290630
889.3170269743399,3349.605499159565,2023.654367721919,1299.074922447066,1066.3055286009799,1448.317644717484,935.515808690762,998.5746327802515,-6255.933465491571,290664
1220.7652516452642,2850.9650997513104,963.5344196096512,1746.0246275468166,1419.2864404340655,1138.6155963541642,1011.4317053748681,1298.1390526442074,-3329.6141443994093,290697
1406.9378095708423,1014.3496916432164,2518.3587909589055,1917.0375583175203,1264.4505273061884,1766.5248370741917,919.121456303231,1109.1931057842448,-7826.312473807373,290730
959.3948762826705,1940.6859612003175,2649.0596444776397,1443.9245132623796,1074.5884089494753,1289.9080383208882,1776.565788255532,1632.052082502271,-12540.344337155184,290764
2434.0577232267933,1061.8815037451996,1393.6918218596638,2847.0997523796036,2088.7029468069413,958.726457189271,1135.4999480140855,1323.5206836313514,-5729.246786399531,290797
1051.6295054005482,2962.0523290448464,1461.037970205874,2071.073634615631,1184.5616889909056,981.3281208977962,1381.7890577074345,1127.022629867227,-5658.666226709182,290830
1199.485368661743,2686.621856532847,1007.1762196598459,1509.8995998975358,839.1048802146249,1359.8286169511018,930.1240385174183,1120.3747398911817,-13698.08132995147,290864
794.7842177084831,1344.1714920351494,2143.300725516604,1018.80941520435,1169.138145148222,1445.0744845676,1093.20797691087,964.7706716231257,-7634.09250211791,290897
977.956242445192,1685.6959986901552,1088.7748636327794,1266.23084363726,839.8297446506643,1039.6537077682462,1153.4125886023226,1205.3455935954635,-1957.3748264491667,290930
