centers 0,centers 1,centers 2,centers 3,centers 4,centers 5,centers 6,centers 7,centers 8,centers 9,score,MILLISEC
1014.2725466997966,1235.5460331367667,1317.5600664984177,966.6938676688818,1108.4173401747196,1169.1984433790528,1068.7015486093394,1348.582589239532,991.7150467802904,946.1685896287194,-394.04601796749233,278397
1016.9060892661336,1259.0759973242862,1171.6974865552968,978.7722837611717,1109.8310682261513,1282.6249263530935,1053.6972999870504,996.5216916587348,958.1586507463156,1032.3342481967748,-297.71091104580967,278431
1082.5680597076282,1225.234645609849,1009.6290238997328,1298.8891407660624,987.6146130779812,1028.7036588193816,1124.7052947328025,1255.6635695917917,972.1820817110342,1045.3717042277353,-326.77233032967257,278464
1151.7588882547543,1014.7107939721922,1243.0329842767649,964.5742810973511,1061.3401924087466,1194.5785867828035,1111.4612004024252,993.6024584923565,1023.9102285875258,1004.1962452294688,-175.60017756544667,278497
1030.76246804094,968.9077553502987,1080.977156344014,1005.5131772238467,1106.4452087654408,1041.8253212511204,955.4072430121095,993.9414188748212,1010.4183146361463,1049.9323787749381,-37.75994568926208,278531
995.5292581740536,1045.2537989959028,876.4819344061602,960.8149104975537,1118.4922887530338,1089.1668833002516,1013.9634152121336,980.8468563540673,1002.0678210186653,1056.5874313089287,-144.39431434437398,278564
947.372154963402,1072.3556810778084,773.60713543762,993.4717848108639,1029.3327748518072,1134.5307399978196,962.7456732761192,801.4936057137324,976.4332188274375,1049.6086492244972,-206.7773426850209,278597
997.2698953406114,775.1715939067943,1105.8042688828773,949.4567958791107,1058.2564571672265,893.6403079539328,1033.6191219853074,977.0549811455502,799.7512113151189,1141.5603356809486,-515.5157226998032,278631
1105.9107262647365,832.3124413343826,1007.4540358037564,1181.9350478637693,943.3843331325786,1030.2066788312077,1078.8796773691975,1214.4607856987395,805.7505817559178,1152.199201527236,-431.84190387660084,278664
1015.8064470005398,836.4796860268215,1139.945170556955,1079.774976557616,1227.7992506920666,969.6633540755498,1060.3456401087767,1001.8694523606154,1116.6721891123016,810.9932182207198,-459.3288683546613,278697
744.7214244266107,1022.0280575420816,1113.2510304845232,951.1053308355738,857.137892878222,1188.0189392429736,1061.9952040586707,979.6577011079132,1161.2583691840503,1048.3339001181216,-560.1813004356958,278731
985.047135051251,1230.5833825131033,1080.1875230928724,896.4719739066024,1031.3915871617578,1119.472396306896,1277.9362268908415,958.2786973525002,1016.1919719421207,1063.4152528528073,-347.4522198238352,278764
1038.7813279480833,1362.1196716882112,1140.161678828511,1236.5277999301109,995.5875240999816,1421.8470381865977,1069.528643592837,1108.5946057960052,1332.5411813523813,1057.429869262487,-501.5577413497093,278797
