,center 0,center 1,score,MILLISEC
0,982.0505708531944,3023.7885177373105,-421036.525738302,194031
1,3442.2929857872355,1008.6093546812212,-682732.39299061,194065
2,1020.1778971013528,3172.05438162715,-1065551.1653172325,194098
3,965.9641890050752,2413.0577856676464,-576849.7716930895,194131
4,967.9376659386853,2489.265971115588,-947238.672378166,194165
5,955.1667893508233,2601.230107953448,-1143666.5368565444,194198
6,944.572785409806,2607.913545843359,-1376772.6830134892,194231
7,2347.4149213947658,926.8022462852115,-1713215.7029594483,194265
8,898.2359751260823,1737.480122943828,-1651509.860932627,194298
9,310.069903597004,1053.8629568562408,-849019.8049248887,194331
10,1022.6059226076633,205.09423690140818,-225542.1218865228,194365
11,1034.0151015690535,293.1007437589776,-222270.71711232243,194398
12,1023.22792188577,308.8738340038491,-266673.356517639,194431
13,1031.5232578842238,348.978427656393,-160789.5802550323,194465
14,1036.3478601128886,281.14492602119276,-161725.45829367905,194498
15,1025.8014251229572,222.1288827322145,-336226.7767320533,194531
16,1029.53930473119,230.7001799578859,-190902.86200866627,194565
17,999.7609300911176,169.26716777357342,-95473.45218305869,194598
18,1037.822093070434,209.48876161507906,-112292.14394335939,194631
19,164.313334285476,1053.8551777017606,-252794.87177899224,194665
20,169.57055717894207,1007.9674953929983,-66954.58238877106,194698
21,982.2624660404617,163.37743041416547,-85679.24108609525,194731
22,985.6022109514407,153.69609035610358,-86183.06732834934,194765
23,1017.9030316337387,163.22773328641608,-81614.2264843946,194798
24,1048.2210219892293,150.3154439394607,-313353.36152410635,194831
25,95.8329051058929,1024.632867904102,-392925.47937630676,194865
26,197.75952535128272,1069.1369724775166,-501813.99596993905,194898
27,173.2760339183086,1047.8846824934658,-287805.15547680284,194931
28,1019.9311085300512,155.4173160093468,-140650.8310648292,194965
29,1018.314686959058,83.12466650505962,-125926.62226772675,194998
30,1014.2157509536012,85.36314673096035,-186088.23418290922,195031
31,1012.0618060361294,83.13614780439002,-133756.3168474396,195065
32,1016.9181669246533,96.0217043384855,-74427.2299373127,195098
33,1019.0155573009977,81.3002068294769,-80972.08550401399,195131
34,54.29666930591395,1036.8102134905216,-106207.65773924685,195165
35,1001.8728418335995,65.87627643169685,-14927.52175775277,195198
36,74.11843387792192,1019.050667296498,-88885.08851841459,195231
