,center 0,center 1,center 2,center 3,score,MILLISEC
0,1005.5931940647768,3023.7885177373105,786.7416763059043,1410.1468008686188,-76874.05981250675,194031
1,997.4486854283257,3442.2929857872355,477.8158641150376,1368.8717886139248,-139295.09160801268,194065
2,1041.134450833064,3172.05438162715,1752.0670649264541,664.4465545905266,-143228.21289488766,194098
3,1010.8253326725642,2703.9256646587014,584.6444678314191,2122.1899066765914,-82619.18853403331,194131
4,804.467542606465,2489.265971115588,447.5129222747498,1077.3133700332949,-157904.77602938435,194165
5,1059.2061337287996,2601.230107953448,334.9165180046649,795.1219778621587,-160654.27759870625,194198
6,1022.3593113691999,2999.462951929895,283.38731475495774,2216.3641397568226,-92955.7134357697,194231
7,1008.0251880899876,2859.6513773535403,236.40724094461393,1835.1784654359913,-123000.97585237527,194265
8,980.5972078323327,2326.336390120741,239.34611347607927,1443.051989355372,-154576.64382572504,194298
9,310.069903597004,1096.2973378797628,1809.411782873097,927.4787062752903,-118202.87703961748,194331
10,876.7769695204948,205.09423690140818,1225.9307422496054,1009.3376457104079,-35432.31113004993,194365
11,1025.0506199620147,629.8315870033387,186.8122341348494,1169.1925792584377,-50955.031418659455,194398
12,308.8738340038491,1010.2184412532986,1260.3726812709197,731.0711319700704,-66473.04060753873,194431
13,275.4003210398339,1004.2856776967722,459.3455875812318,1222.1863191963848,-37095.34021504945,194465
14,1085.6444820938445,501.765881661956,954.186823477962,225.98968711100213,-36079.2656759873,194498
15,943.1379033928307,135.69697942614187,1090.0952753574998,567.8564959565049,-101781.20117422167,194531
16,130.9538385147181,1015.6879833013826,430.1928628442214,1223.4578047484924,-31220.458309215952,194565
17,1011.7142690231733,234.43658162740826,820.4608461102821,71.51304699282161,-29328.803627762238,194598
18,1022.0566505114664,171.26397359241344,362.3879137057416,1274.3037314549463,-23417.652576580156,194631
19,1024.749464590384,130.91809871986868,1490.440874372412,297.8942765479055,-27175.82803611962,194665
20,963.7292023384742,100.54339400483934,1028.0758104177821,273.1113019400965,-16986.04244340423,194698
21,1002.4128503676942,75.0768928502597,295.8282367600244,921.8113130587642,-7712.030630846022,194731
22,995.3677323085361,98.90631300112989,372.8551997759988,917.2435614517731,-15463.747650098161,194765
23,1002.1442323885985,118.3072643378008,342.90960908087715,1086.1911616960128,-24039.032953486043,194798
24,1015.973311270867,107.16597965989342,1531.9366827646631,322.9133010577297,-26536.272993791026,194831
25,95.8329051058929,1022.7815126738543,1468.7154251249626,608.3206391369604,-22348.877184594498,194865
26,1035.2795852697172,101.29233009581412,1576.9977805945068,583.6283063731573,-40578.160311479485,194898
27,1023.5004534956543,96.22815534002427,1413.648117460636,481.46754823144624,-26375.893892272765,194931
