,center 0,center 1,center 2,center 3,center 4,center 5,center 6,center 7,center 8,center 9,score,MILLISEC
0,1077.2299504914536,3023.7885177373105,935.3409344179838,617.0259313837628,1410.1468008686188,995.2637550549646,826.7815007075998,968.4436327941503,876.3777724246547,1022.6465665125953,-1466.9877071500546,194031
1,880.8012938094073,3442.2929857872355,1115.553369838159,477.8158641150376,1431.8243607370284,1000.417690508347,1305.919216490821,949.3202831500021,852.0748447335809,1025.7510533837292,-1330.3477989823946,194065
2,1038.4541563560206,3172.05438162715,1752.0670649264541,469.9053096103512,820.792909326098,1182.725074315636,959.1808415093079,702.6414448351306,1093.264250080248,995.3872911262498,-2681.3987490601976,194098
3,1021.8177208327769,2703.9256646587014,678.1636970525627,2122.1899066765914,1091.6088803305672,491.12523861027546,957.0302467386632,1141.6575668737103,992.5655557782815,919.4613004539776,-1238.9630659373352,194131
4,2362.6783530561243,920.0130433857989,447.5129222747498,1109.8357887634652,2615.8535891750516,746.6947922167981,1302.490307065661,1028.1327506395405,1202.5610171629546,984.5980986732043,-3502.681818419945,194165
5,1033.1165314781438,2756.6341795747944,402.5990561340153,726.5906688087867,2445.826036332102,1308.9430850881179,965.1478143191173,267.2339798753145,1095.980260095123,863.6532869155307,-2881.330049922885,194198
6,1068.0921479032252,2999.462951929895,318.913781451978,2216.3641397568226,970.2362831637347,1004.7298154636346,1149.8703928958928,891.8314191346694,247.86084805793757,1093.469549417956,-1932.7100318253867,194231
7,877.9801068504837,2859.6513773535403,1835.1784654359913,192.15098230297963,1054.7768184854917,1130.936822024732,1006.9089842193525,280.66349958624824,933.3386309373464,822.0498768323002,-1760.3397323297086,194265
8,837.2054705984666,1074.2179205382852,2326.336390120741,132.24598292575843,1408.9645133927256,1000.7921470694682,346.4462440264001,899.7098572329775,749.7212815440149,1477.139465318018,-4039.409285909887,194298
9,1070.4633464468434,229.6388468878904,1809.411782873097,908.4209075362498,1342.9072938963434,390.5009603061176,792.5421124457678,965.9007042846191,1111.1428741819436,1030.030986439035,-2152.710542571853,194331
10,1298.698194346939,975.8518820314613,155.8717421471897,1189.5470162009387,811.5497520177059,254.31673165562665,1038.8377122252023,909.3905782718894,1092.7437943086202,1001.7449870250459,-1921.2899652209896,194365
11,1088.17783473107,166.8951766828509,753.9854109994437,505.6777630072337,1037.087604239958,1240.1757939905133,975.6120075800291,1133.7009718923998,206.72929158684792,1004.8686652191382,-520.9400285043633,194398
12,1036.5170422342092,302.6654102717051,731.0711319700704,1187.3301983862787,947.794459737566,439.8647519408665,1333.4151641555604,190.29976353111954,1005.2708617774917,1079.249250482952,-1064.6260273954517,194431
13,990.7423502636797,275.4003210398339,1181.7808595505344,479.5602151972159,1050.3044096660628,942.04443009956,1262.5917788422353,439.1309599652477,1016.1243162292387,1086.128445442803,-1517.2786484678288,194465
