,center 0,center 1,center 2,center 3,center 4,center 5,center 6,center 7,score,MILLISEC
0,996.3760418799511,3023.7885177373105,826.7815007075998,1410.1468008686188,617.0259313837628,1077.2299504914536,950.0864539615447,876.3777724246547,-3383.6374007034965,194031
1,949.3202831500021,3442.2929857872355,1115.553369838159,477.8158641150376,1431.8243607370284,1009.9177015866154,866.4380692714941,1305.919216490821,-3358.8928153180436,194065
2,1752.0670649264541,979.8702412904177,3172.05438162715,469.9053096103512,1182.725074315636,820.792909326098,1061.9441965235467,702.6414448351306,-10078.633094070661,194098
3,1021.8177208327769,2703.9256646587014,2122.1899066765914,491.12523861027546,678.1636970525627,1104.121051966353,935.4462655639462,987.6981003962572,-4425.441325285375,194131
4,1028.1327506395405,2362.6783530561243,447.5129222747498,1252.5256621143078,746.6947922167981,2615.8535891750516,963.0697469107358,1109.8357887634652,-11276.432886300987,194165
5,334.9165180046649,1095.980260095123,2756.6341795747944,863.6532869155307,2445.826036332102,1019.5227880463385,1308.9430850881179,726.5906688087867,-19434.776404774824,194198
6,997.0645860636569,2999.462951929895,318.913781451978,2216.3641397568226,1149.8703928958928,891.8314191346694,1080.7808486605904,247.86084805793757,-4427.528404725174,194231
7,933.3386309373464,2859.6513773535403,236.40724094461393,1835.1784654359913,1054.7768184854917,859.3366968444225,1006.9089842193525,1130.936822024732,-7763.033010164776,194265
8,1443.051989355372,878.8750616881405,132.24598292575843,2326.336390120741,1000.7921470694682,346.4462440264001,749.7212815440149,1074.2179205382852,-8967.853553288798,194298
9,1043.0607831634481,390.5009603061176,1809.411782873097,944.3457805039807,1342.9072938963434,229.6388468878904,792.5421124457678,1102.821610401427,-9665.874781699044,194331
10,990.2369403612305,155.8717421471897,1189.5470162009387,811.5497520177059,254.31673165562665,909.3905782718894,1298.698194346939,1052.3142327460569,-5590.58453209534,194365
11,1088.17783473107,186.8122341348494,753.9854109994437,505.6777630072337,993.1660021634945,1240.1757939905133,1037.087604239958,1133.7009718923998,-2341.4608030512395,194398
12,965.8775390538756,190.29976353111954,1187.3301983862787,302.6654102717051,731.0711319700704,1034.8522758085335,1333.4151641555604,439.8647519408665,-9215.10189135647,194431
13,1000.8951366499033,275.4003210398339,1086.128445442803,459.3455875812318,1262.5917788422353,942.04443009956,1181.7808595505344,1050.3044096660628,-3107.634023305803,194465
14,954.186823477962,270.6508113167288,1121.387170030898,501.765881661956,1077.1816011694095,181.32856290527536,1038.1028438754272,1190.6355445727295,-7455.495424696332,194498
15,67.92816690127711,970.9395188978775,567.8564959565049,1101.3374483331709,1299.9661534055415,203.46579195100662,854.3499712939546,1036.0643808971402,-4700.993478129446,194531
16,1045.6383608886927,154.81454787456096,430.1928628442214,973.712123952305,1223.4578047484924,59.371710435189584,999.6620716685073,1084.7657439487696,-1676.5290212902137,194565
17,998.0279169232631,191.59785135175173,820.4608461102821,71.51304699282161,320.11404217872104,1064.3577574360793,1026.8621638973825,970.770109939195,-1631.0556770725073,194598
18,1274.3037314549463,117.80637777837273,1025.2160080243168,362.3879137057416,224.72156940645414,1068.8924243431952,999.1564550440662,977.0941612761792,-702.4158046372092,194631
19,975.2075143064692,143.33959258588595,1490.440874372412,1061.342714637056,297.8942765479055,1016.3687241897212,1094.085711290194,93.65361712181755,-1453.0376482736951,194665
20,1011.7654103822266,100.54339400483934,318.14147796224245,974.0759710699429,1040.7242138603804,228.08112591795054,1104.3034003388743,922.3421274125996,-2636.7006352260514,194698
21,903.5816819359825,92.73618495495703,1009.2934711136488,340.24843864447047,251.40803487557832,940.0409441815459,66.24724679791086,988.6516088757851,-832.4376555949578,194731
22,1013.070378523307,55.25331711675835,372.8551997759988,949.1116178186551,100.06997551713505,185.0486422538679,897.6285423269471,988.5539630802824,-666.9531578583529,194765
23,342.90960908087715,1007.3477854831988,82.80700453464067,181.77599756573704,1099.38722376711,970.665009419773,26.870057685088796,1038.9655821602305,-1383.8262337152946,194798
24,123.66414507279615,1087.8514056267081,1531.9366827646631,1004.8426262491616,322.9133010577297,57.67148342118492,1043.8630424929952,966.1364488621571,-2285.183622910019,194831
25,967.3267286703082,56.71307103693039,1468.7154251249626,608.3206391369604,1066.8695313062692,1026.497221043574,134.95273917485542,994.8863461989118,-1417.4508908854264,194865
26,987.1075744468175,76.50779439482164,1576.9977805945068,583.6283063731573,1049.653219392727,1085.1293458770556,126.0768657968066,1129.963716231632,-2352.3858246182426,194898
27,1029.8085558914897,69.94486453082823,481.46754823144624,1413.648117460636,989.3096002377056,1114.7004081814987,122.51144614922043,1064.4683230078062,-1917.8479085440267,194931
28,93.76729187213039,1001.1297156808678,402.01741255821247,1227.7316482033034,979.9818241820894,1060.8812042714378,950.1961133852126,1031.136779423619,-1671.4237830682018,194965
29,137.47363383572872,1034.5042514483798,1343.6744397360544,61.369051708499796,987.3204258316518,953.2041300317301,94.04254356407,1010.0042467317483,-462.56726136092726,194998
30,118.51031709994231,985.4949470539663,1421.576941287386,47.69696007084724,71.04906969203512,1046.1758934328395,971.9780383279268,995.6131021913202,-190.04213603892643,195031
31,1047.2264925486452,61.216105015785956,985.9171394415346,1337.7421276165298,952.3293167963225,116.01621198729629,1002.1259393506741,915.9197563105624,-1321.3131011037042,195065
32,1006.4705316869771,105.87728746053142,1260.2912361831293,960.8111156725863,72.62955388495948,156.34257257701756,1044.747816460987,980.045061869326,-726.5622813984785,195098
33,143.00494599933552,1045.9305236484427,1187.7651282976783,40.16371404957147,972.2746663355787,899.1273547167832,1003.8260968570389,1135.9581858501658,-1412.9086496276361,195131
34,1060.9444268271677,58.146367040426526,1325.4210651713665,997.8947866308571,106.44716999526099,35.62993649796067,966.7041946738412,1022.5989807594889,-680.1529666012082,195165
35,1038.029383013795,60.48642287632413,984.0584322183872,1012.6517527238091,1085.4109820708468,962.6864403741127,996.7725387686978,87.43569065318809,-134.1894631521996,195198
36,1009.6824699660539,111.08114820582341,1161.143673290294,868.0034562143171,63.94361719689459,983.7688191693067,1127.898488340152,20.542638584174142,-1192.8456758318073,195231
37,1017.1498750750077,104.33894960468785,1127.2896841474142,32.277102051046654,1216.5726447689017,172.72521529875132,995.950411837016,1167.1113914275707,-990.3697461743662,195265
38,91.26775719676482,1086.6098770081135,1260.6683021129659,1012.0195690728618,199.3141538285322,1057.3212504544404,161.34745117292675,983.6571995828011,-1721.8143625914977,195298
39,167.8624659760336,1048.3115883832534,1178.6981697665378,377.73683111940824,837.8323221265697,1287.087409619098,1001.8400600305586,97.20596689504202,-2385.0646463685375,195331
40,264.5307115275564,1037.0083452812694,1391.2279452533255,859.2636382391612,971.633829953329,1214.8748292885066,657.7393100613647,158.79861460352856,-7329.274848908637,195365
41,1019.4642465836124,343.9868695245899,1360.6418572746188,701.5340333868344,1526.0976377676495,1123.9306028398728,959.8338082808589,1219.8596891647871,-11834.890211457008,195398
42,1196.1722690703623,479.04279558302505,1034.073687272099,1642.9403519300388,848.261605314869,1445.4580588865247,330.57828119826627,976.4626809790632,-9226.65769845611,195431
43,1032.8657218648916,1464.2901502319523,446.4582847254601,1222.622816739186,667.8689991308175,943.3647901486509,564.7096599138357,1098.9412384655343,-8838.310273699697,195465
44,858.0074381961476,1219.0590633763402,1003.7351088350343,382.90860528329733,1370.8721214391633,939.9883646453604,1082.5022559069434,1302.1754874055955,-4990.001228638341,195498
45,971.8207998912085,1257.448761143972,474.80627628539196,1068.864505375111,882.9655889568162,1199.745068908131,1007.9868134888752,1296.6375746522233,-2280.4151329540105,195531
46,974.7935207943183,1219.2490384951525,384.3774186915771,1602.4556156099925,786.410198306202,1079.9356085447887,1308.7005965859416,1029.6388882919887,-4336.654928173083,195565
47,1006.110566203669,2254.7030846654734,1249.4425878403897,578.5989790182166,844.0693430235119,1440.1562415238147,1081.5963704003964,1169.6164244451852,-13297.019897386816,195598
