,center 0,center 1,center 2,center 3,center 4,center 5,score,MILLISEC
0,979.543464455076,3023.7885177373105,1410.1468008686188,843.3135912799514,617.0259313837628,1077.2299504914536,-10477.70902107307,194031
1,866.4380692714941,3442.2929857872355,1115.553369838159,1368.8717886139248,477.8158641150376,1003.1846550936584,-14548.987374642298,194065
2,1001.173483132455,3172.05438162715,1752.0670649264541,761.7171770806143,469.9053096103512,1129.0485797744034,-30248.630224400287,194098
3,1091.3996046494049,2703.9256646587014,678.1636970525627,2122.1899066765914,977.2527193488805,491.12523861027546,-19140.985158231204,194131
4,1157.3990798804127,2615.8535891750516,447.5129222747498,746.6947922167981,2362.6783530561243,1006.4450827299389,-46890.021737235904,194165
5,334.9165180046649,1041.3677800602768,2756.6341795747944,795.1219778621587,2445.826036332102,1308.9430850881179,-45529.985709028595,194198
6,997.0645860636569,2216.3641397568226,283.38731475495774,2999.462951929895,891.8314191346694,1103.8106967390247,-13316.274906863195,194231
7,1033.018712000883,2859.6513773535403,1835.1784654359913,236.40724094461393,877.8371803676534,1130.936822024732,-18119.328308186403,194265
8,846.5866166521091,2326.336390120741,132.24598292575843,1443.051989355372,1025.2674048924073,346.4462440264001,-35855.29563941069,194298
9,944.3457805039807,310.069903597004,1809.411782873097,1342.9072938963434,1065.4710933776903,792.5421124457678,-29300.477933702507,194331
10,983.9038067937981,205.09423690140818,1052.3142327460569,1298.698194346939,851.7126519372889,1189.5470162009387,-16658.629541481347,194365
11,1240.1757939905133,186.8122341348494,753.9854109994437,1020.1946803643951,505.6777630072337,1118.5265928386232,-9658.745724021095,194398
12,265.21019469150997,1115.2762331173942,731.0711319700704,1333.4151641555604,439.8647519408665,998.7133063816896,-29593.209299341885,194431
13,942.04443009956,275.4003210398339,1222.1863191963848,1057.4692168214108,459.3455875812318,1000.8951366499033,-7399.5255931572365,194465
14,181.32856290527536,954.186823477962,501.765881661956,1144.4699615448417,270.6508113167288,1060.4335623291315,-13270.357189111206,194498
15,999.1063558851197,135.69697942614187,567.8564959565049,1299.9661534055415,1082.2611717785812,854.3499712939546,-31220.269540437417,194531
16,154.81454787456096,1058.6808219087181,430.1928628442214,1223.4578047484924,983.4433543458808,59.371710435189584,-4980.423094434954,194565
17,191.59785135175173,1042.9317039853954,71.51304699282161,820.4608461102821,320.11404217872104,984.399013431229,-5527.179534209645,194598
18,362.3879137057416,1061.4443411137133,117.80637777837273,1274.3037314549463,1007.7338539288312,224.72156940645414,-3524.666170374445,194631
19,130.91809871986868,1074.4399132983112,1490.440874372412,1016.3687241897212,297.8942765479055,975.2075143064692,-4591.084362428591,194665
20,100.54339400483934,1017.7676117661329,318.14147796224245,1104.3034003388743,228.08112591795054,956.9331991304094,-6408.460212610063,194698
21,903.5816819359825,75.0768928502597,1002.4128503676942,251.40803487557832,340.24843864447047,940.0409441815459,-2436.4441564453573,194731
22,70.19220325021729,983.6829893703404,372.8551997759988,185.0486422538679,917.2435614517731,1010.9473895594638,-3021.12640405665,194765
23,54.838531109864675,1013.7014576079044,342.90960908087715,181.77599756573704,1086.1911616960128,976.1404756451604,-4019.006011234884,194798
24,1011.7370306624931,322.9133010577297,1531.9366827646631,107.16597965989342,1078.5190155046985,966.1364488621571,-7187.724414703228,194831
25,56.71307103693039,999.663261344192,608.3206391369604,1468.7154251249626,1057.4588896683476,134.95273917485542,-4202.226762079629,194865
26,1576.9977805945068,101.29233009581412,987.1075744468175,583.6283063731573,1094.0962199479707,1049.653219392727,-6417.575276346385,194898
27,992.6706271315327,96.22815534002427,1413.648117460636,481.46754823144624,1114.7004081814987,1049.4068962001757,-6427.773966821675,194931
28,1041.0515877062253,93.76729187213039,402.01741255821247,1227.7316482033034,950.1961133852126,992.0663336099627,-3617.7505450281533,194965
29,1343.6744397360544,69.53742467239238,1017.0042480793572,137.47363383572872,953.2041300317301,987.3204258316518,-2120.7353940521793,194998
30,973.3821950018804,63.26503315163927,1421.576941287386,1046.1758934328395,118.51031709994231,989.9257513157637,-736.8859980005952,195031
31,1037.2737194585916,61.216105015785956,1337.7421276165298,940.1927966344024,991.4274689647289,116.01621198729629,-2850.614844012408,195065
32,1006.4705316869771,80.94148727885238,1260.2912361831293,975.2365753201411,156.34257257701756,1044.747816460987,-1833.079637056949,195098
33,1045.9305236484427,40.16371404957147,994.3606677006009,1161.861657073922,143.00494599933552,899.1273547167832,-4845.423105203692,195131
34,41.25904413357716,1022.5989807594889,1325.4210651713665,1060.9444268271677,993.9959626362302,106.44716999526099,-1911.6415981819014,195165
35,992.5345032519276,60.48642287632413,1085.4109820708468,962.6864403741127,1016.88135777214,87.43569065318809,-886.4075695950784,195198
