,centers 0,centers 1,centers 2,centers 3,centers 4,centers 5,centers 6,centers 7,centers 8,centers 9,score,MILLISEC
0,528.1145709029433,1111.784660956076,1882.1660394343535,1408.2964886699108,981.2381851321727,708.2273537711873,1169.2980800463156,1028.4371221634296,1224.0314538442221,1354.6102760572874,-2694.3497621154474,215598
1,1006.4723760825931,1621.9827372694199,1362.3538453720457,740.1851119821312,1135.2669380520263,484.18384937955125,1828.462195398089,888.4791363248527,1216.2236636408618,1076.7405658856796,-4240.738929519129,215631
2,1233.1021855466804,1024.3477518019467,2202.3750815880567,460.1445425081124,674.899992591495,1158.8801816742152,892.3362594896612,984.7418633347106,1087.1974509848699,1303.310400480254,-2517.286633378464,215665
3,985.6456465710914,2402.600882377262,477.5332449159953,1142.7991949594643,885.7725615102901,594.3475414267313,1085.3661059761484,827.9583322849043,1022.5249390727488,1211.7668917741564,-2557.6509490648687,215698
4,1019.0150878240557,2436.434485062137,633.5826702175494,486.56551460209346,1124.14661935619,922.7005462143682,740.8191412213915,1068.043979157851,583.2580903853799,993.9917408187662,-1431.2668364783974,215731
5,2310.0008658007037,992.5058868456413,463.8390895277254,853.3494876478045,1064.925513167845,1170.378998444521,611.4319258919999,768.9408299732821,936.0956147744738,1024.5870920636953,-1331.5683165399103,215765
6,514.0493435032931,1050.00281257435,1993.6905477029277,831.4473528586143,1188.8170590969833,924.9356734389695,993.7616176105885,1095.6445591522827,792.1780102981905,1028.6500742413823,-995.1854469118538,215798
7,1025.0415829360209,541.5165983157706,1574.332239395484,755.3605388980319,1179.7902355927515,654.3615208735918,958.6810173501509,1076.1403913454333,845.7079874282848,992.660763546344,-1604.8954084599372,215831
8,788.9847907279328,1049.2548319925552,616.1242380612011,955.7510129135106,1153.2624823777212,907.6370419942103,752.1335033841995,1001.2710622269034,861.027293411771,1085.0819520174587,-1560.0359984102645,215865
9,1102.33028980863,818.2314350852986,997.3441801653823,664.5389379110903,748.5439198871367,883.8789709651246,1060.6686570272548,958.0280766436302,1025.9423922057695,710.9845286643023,-1961.326960564911,215898
10,782.6276253749288,998.0335451100291,894.0498249738945,1076.1407718986627,862.2441649556116,1045.8861057694137,932.976778634011,976.213347271097,837.1272304733612,1011.4850136833472,-545.1249578309274,215931
11,909.6026605062234,1161.8627285527323,1011.4569772311845,765.1228659502996,1279.8949175615942,1098.967242459938,1047.8658835962183,986.4401291940308,933.1447171499766,1189.7100487093483,-556.0222355551682,215965
12,1111.659268735608,1676.7665311545313,979.3793184188819,1329.2618252248126,811.476432190116,1028.4514312903677,1263.0764030730681,1063.7095191095539,1140.0758746679976,1002.023157997224,-378.4773099232904,215998
13,1225.7203309936676,979.6952593210431,2030.2012215541592,1332.5548949771464,1053.4626422262002,838.5618641459913,1137.5275294846338,1437.2651112442686,1017.4413084145217,1291.1537476226447,-2162.1363655521086,216031
14,1063.9729823942685,1671.0547567330043,2271.744043680978,1321.0276914020346,1523.0106960775113,839.719596055731,1111.9045168710725,1210.6825655088378,1020.7279393673566,1449.9879309842547,-2837.8318353187346,216065
15,1538.9646205649647,1079.2311377892968,2421.612685794324,2042.5488978235014,796.3196594333208,1231.7014293201896,1008.923340910896,1785.2366789868508,1343.8891323319792,1161.293579171012,-7170.5209455280965,216098
