,centers 0,centers 1,centers 2,centers 3,centers 4,centers 5,centers 6,centers 7,score,MILLISEC
0,1028.4371221634296,1381.453382363599,708.2273537711873,1882.1660394343535,1196.6647669452689,528.1145709029433,1111.784660956076,981.2381851321727,-5633.325578110032,215598
1,740.1851119821312,1362.3538453720457,1019.5253987076852,1828.462195398089,1135.2696346956227,484.18384937955125,1621.9827372694199,888.4791363248527,-16855.4789787765,215631
2,1129.2263852864028,2202.3750815880567,674.899992591495,984.7418633347106,460.1445425081124,1268.206293013467,1030.6976556945272,892.3362594896612,-8790.048069345807,215665
3,1022.5249390727488,2402.600882377262,477.5332449159953,866.5011517684948,1211.7668917741564,1104.510468970587,594.3475414267313,985.6456465710914,-6985.014156458834,215698
4,922.7005462143682,2436.434485062137,608.4203803014647,1068.043979157851,740.8191412213915,1007.8936002661492,486.56551460209346,1124.14661935619,-4089.0327160031193,215731
5,1048.7326363598097,2310.0008658007037,611.4319258919999,853.3494876478045,463.8390895277254,990.2050491171702,1170.378998444521,768.9408299732821,-6387.771437496814,215765
6,1095.6445591522827,514.0493435032931,1993.6905477029277,818.3575720051397,1037.801247812654,1188.8170590969833,924.9356734389695,993.7616176105885,-2804.8500824915445,215798
7,1067.3844705478846,541.5165983157706,1574.332239395484,755.3605388980319,994.117190274947,1179.7902355927515,654.3615208735918,845.7079874282848,-6661.136179835791,215831
8,955.7510129135106,764.4172658321106,1085.0819520174587,616.1242380612011,1001.2710622269034,1153.2624823777212,884.3321677029907,1049.2548319925552,-3551.6152491296384,215865
9,1008.5278648108977,729.7642242757195,883.8789709651246,1102.33028980863,818.2314350852986,965.105869897345,1047.3940446006573,664.5389379110903,-3343.40283260124,215898
10,1076.1407718986627,932.976778634011,849.6856977144864,976.213347271097,1003.4141325393564,782.6276253749288,894.0498249738945,1045.8861057694137,-1077.6855648585124,215931
11,986.4401291940308,1279.8949175615942,765.1228659502996,1175.7863886310402,925.2973649353922,1047.8658835962183,1098.967242459938,1011.4569772311845,-1313.2444761861595,215965
12,1028.4514312903677,1329.2618252248126,1676.7665311545313,811.476432190116,1121.1314707130712,988.4368542502187,1263.0764030730681,1063.7095191095539,-1532.1051367540663,215998
13,983.833427019335,1437.2651112442686,2030.2012215541592,1225.7203309936676,1034.4332505199386,1318.7545125256459,838.5618641459913,1137.5275294846338,-4803.165156572594,216031
14,1102.390093488606,2271.744043680978,1671.0547567330043,1321.0276914020346,1498.669774379759,839.719596055731,1210.6825655088378,1025.49525395021,-8238.566317353678,216065
15,2421.612685794324,1209.1122901269932,1785.2366789868508,796.3196594333208,1538.9646205649647,2042.5488978235014,1069.6285648218013,1343.8891323319792,-21825.742473241567,216098
16,2446.7064202119973,1132.0183673385245,1695.2675305095654,1239.2735329447364,1888.7048472432107,1416.496836365524,931.1675466853428,1050.7659796375335,-8421.174085223207,216131
17,1105.1669255510205,2482.1009838509435,1468.3405599519479,2050.5474878675695,1187.8546724011935,1681.912601772161,1291.874807234929,1029.6305083219706,-8692.589560649467,216165
18,1065.237169880115,2565.0050682211136,1887.6188704290917,1342.790296819966,1659.0,1005.3910821191932,2415.291700809656,1156.0631470642077,-4388.2448393007635,216198
19,1048.5516107715457,2091.4124413897894,1806.5554664428241,948.1393941314298,1333.9808844207625,2203.765867781784,883.9971719411776,993.228972979054,-3628.2916672681263,216231
20,974.6195766373772,1526.043483836986,1271.33433840198,1084.1005488422188,1723.4770088399787,1376.333171873729,908.5932304746699,1016.8213630139624,-4981.235506226922,216265
21,1000.2438751044007,1466.2175827618491,897.4329537061426,720.3950305214494,1104.5979919606375,1389.858266155222,971.8322454247265,1026.9743651247259,-1353.3976824498643,216298
22,1134.1635497050895,886.4812699673064,1335.8375649756224,1016.7740697589861,630.0166664462139,1432.4657063957936,983.4208033828403,1068.826602542716,-2548.8344988776553,216331
23,897.0136062117235,1158.817783173361,1585.0530364454498,1068.402760083419,970.9723561259727,1258.606113109557,1109.2721652164546,1026.4899768063183,-4401.023684677385,216365
24,2272.6748557591777,1074.9287286130111,1632.102018870144,1156.4118153880956,987.9927294346081,1253.624571176164,1523.745385554949,926.0434234261493,-4286.993864437444,216398
25,1052.1935930048676,2624.4246988625905,1583.8045965332972,1168.116684474849,941.2927262142582,1323.6056723464837,1714.0344220580869,983.4632952069852,-6973.2586054766625,216431
26,975.9064528877227,2626.0017136323427,1440.7049822798053,1140.3191601444144,1051.546743481163,1346.0928645528138,1572.9319756429393,940.3243706998376,-5521.005921522565,216465
