,centers 0,centers 1,centers 2,centers 3,score,MILLISEC
0,1055.5694963770695,1882.1660394343535,648.1897594817726,1328.9794061904734,-84061.85732937422,215598
1,993.3161462311186,1725.2224663337545,612.1844806808413,1167.710236220826,-142618.1724829197,215631
2,1014.2411920091113,567.5222675498037,2202.3750815880567,1213.5432373438412,-75684.45810549652,215665
3,1041.7036972319684,2402.600882377262,535.9403931713632,866.5011517684948,-69708.15948498147,215698
4,992.4039540749163,2436.434485062137,611.0563541066035,1090.4850352371868,-52092.77934372456,215731
5,1028.1578686016837,2310.0008658007037,513.0367016491501,825.2132684229637,-58509.77439315422,215765
6,1040.3166787215537,1993.6905477029277,514.0493435032931,845.0020973635972,-45151.342794810604,215798
7,785.4763550747829,1028.3130593042008,1574.332239395484,579.1315725017109,-60168.08095247852,215831
8,1089.2076235382892,788.5697727270257,978.1867973694685,616.1242380612011,-31142.68611100113,215865
9,1091.914881613286,708.0224621541764,851.0552030252117,998.0604230731481,-16654.229066536987,215898
10,993.2138380637591,827.3330069346339,913.5133018039528,1061.0134388340382,-8351.147329120771,215931
11,925.2973649353922,1210.4892316078915,1015.7613119319135,765.1228659502996,-21092.22036787812,215965
12,1296.1691141489405,1041.3337597811976,1676.7665311545313,811.476432190116,-39648.267631933806,215998
13,1181.6239302391507,992.8107232384746,2030.2012215541592,1348.3821622053015,-56053.142403320184,216031
14,1035.6455623051354,2271.744043680978,1541.7660199680704,1265.8551284554362,-99629.56507170395,216065
15,1042.2976742829533,2232.0807918089126,1621.0553067055932,1231.5750971611574,-216469.01763867884,216098
16,1298.3479674183322,2446.7064202119973,1791.986188876388,1084.2128790242384,-110617.47988114596,216131
17,1057.0982964052616,1866.2300448198653,1269.275698604231,2482.1009838509435,-151698.56626012412,216165
18,1043.3640607372909,1773.3094352145458,2490.148384515385,1342.790296819966,-67872.32910812934,216198
19,992.4179150124344,2147.5891545857867,1806.5554664428241,1333.9808844207625,-45296.25094007415,216231
20,925.3091812729956,1591.8546588379836,1014.0644444373586,1323.8337551378545,-46442.15251354012,216265
21,934.6325995654346,1037.4701084935953,1428.0379244585356,720.3950305214494,-32184.08338111325,216298
22,1384.151635685708,956.258883175002,630.0166664462139,1081.2989347978155,-44344.55644322563,216331
23,1052.4895415671458,1585.0530364454498,1208.7119481414588,921.7549978500139,-31266.717600829234,216365
24,985.0497437260498,1577.9237022125467,1179.125537660626,2272.6748557591777,-51265.40723386506,216398
25,993.6174414910013,2624.4246988625905,1219.9463470987273,1648.919509295692,-64179.92450945682,216431
26,960.6569890929148,2626.0017136323427,1450.1087011888408,1091.0011508870525,-51285.46296234091,216465
27,1281.9816024245968,947.8604375502327,2254.7755985906892,1084.1630497521367,-52028.8441310517,216498
28,874.980991555103,1047.6281665408994,1884.1005811792534,1269.847826918402,-58225.69984619236,216531
29,1053.830646692891,1374.577348965116,889.7640121182499,1634.2493689764729,-56412.89662561372,216565
30,1624.903551909741,1057.1925995656761,1324.5548116599232,865.2455349281363,-50556.79259003053,216598
31,1043.8118653238416,336.73387614560284,900.2840215045807,574.6845214483853,-51315.45919645181,218098
32,1011.1741290048483,381.2021108774313,1268.994868736317,793.6094653304997,-48172.89139388799,219664
33,1037.455123739347,2067.874512633685,454.25419393360437,1377.89288347102,-226060.1140986132,219698
34,483.7065894503007,1255.8517371759149,943.1015789265832,1652.8278797261378,-134126.82626064366,219731
35,1270.7509974767008,956.2461723260906,309.8854627116284,642.2563289698646,-123821.31969525432,219764
36,1044.2533464877527,496.9778882762705,1239.5351939824213,939.2637912285693,-55680.64068688585,219798
37,1040.6793367316304,322.83218738993594,886.9150404937226,1177.162459962271,-49735.22202046955,219831
38,576.3939809579615,976.1471908709503,232.62167272245154,1155.4256378237026,-87249.68617102089,219864
39,1044.3640932346948,428.7880563466308,722.5391266757518,1180.5081295733587,-41517.90421084769,219898
40,1063.7975668269396,529.2496049525955,1683.866087312171,1375.6562070517473,-47234.59367076924,219931
41,2130.729921881232,1031.187182888455,561.0059492289831,1405.1141375576758,-96651.06552496896,219964
42,991.2379609568565,581.342780633754,1222.4159450459042,365.42167423402793,-42369.8001815043,219998
