,centers 0,centers 1,score,MILLISEC
0,1548.3576013871839,997.0318711982507,-699257.275348047,215598
1,998.2860128803669,1604.2662593465182,-597182.9641405453,215631
2,2202.3750815880567,1009.4297086301265,-633222.2666979597,215665
3,964.8469850063867,2402.600882377262,-555249.9104817058,215698
4,2436.434485062137,940.6547043718214,-628336.5428632275,215731
5,920.4480035319956,2310.0008658007037,-746090.4558792674,215765
6,922.3136621672234,1993.6905477029277,-750120.1715937018,215798
7,1064.7143379769532,682.303963788247,-402296.4835875577,215831
8,731.0879278384175,1029.9965162482515,-116808.298360552,215865
9,789.7554569376251,1024.8759826560447,-76893.31010799677,215898
10,876.5788897171018,1022.2708098224501,-36843.630105659984,215931
11,980.159181490784,1182.6087343209033,-89319.96800002511,215965
12,1423.0349198174706,1028.56390824836,-186117.01061972644,215998
13,2030.2012215541592,1101.687652431975,-467295.32957847003,216031
14,1093.1979538427106,1687.7616247106519,-684913.2301960747,216065
15,1160.5753648292448,2083.132754201559,-765647.5910442603,216098
16,2119.3463045441927,1159.7899690456834,-717296.836576715,216131
17,1162.536002991968,2338.249818523152,-668312.1099835992,216165
18,1078.5906767470174,2131.7289098649653,-739947.0039686915,216198
19,1977.0723105143054,1012.5098543893948,-271402.8269847335,216231
20,980.7812207507225,1484.6462973579319,-162185.01107047833,216265
21,1428.0379244585356,988.3069436756422,-150250.68918402563,216298
22,1384.151635685708,998.3177383263985,-257883.6723715851,216331
23,1050.974641973019,1585.0530364454498,-214302.4799741172,216365
24,1049.741675037575,1809.5074200614235,-523713.1726354593,216398
25,1127.0463199537883,2624.4246988625905,-874304.8535724665,216431
26,1117.202204319462,2626.0017136323427,-672315.6932747017,216465
27,1085.9117736495853,2254.7755985906892,-377677.3969842343,216498
28,1649.874068093604,1047.7817311769818,-319458.55128809833,216531
29,1024.877711179719,1439.4953539679552,-173488.01477803575,216565
30,1023.3195881590514,1474.729181784832,-231791.70989878016,216598
31,972.0479434142112,479.50426332727227,-201661.03852208916,218098
32,1097.1143755820044,656.1403471794769,-496517.77218879876,219664
33,1151.4402719665336,454.25419393360437,-1401650.7835666283,219698
34,1299.9601974592729,828.2528315575125,-749055.3293983873,219731
35,1185.8184425144452,765.0370287560138,-584418.2816404728,219764
36,1048.0594568745082,496.9778882762705,-224967.89051686588,219798
37,1018.2185797630294,322.83218738993594,-215763.67513089476,219831
38,1032.1717055436854,370.1305960166555,-339548.8338624114,219864
39,1080.669169591672,526.7050797896712,-210940.74195323134,219898
40,1122.043014371317,529.2496049525955,-474694.860696062,219931
41,900.5812846497129,1646.9860656655278,-1245972.993806867,219964
42,1018.4353708496856,527.3625040338225,-171647.87919518226,219998
43,978.335082262393,520.6127602893921,-166706.35114426256,220031
