centers 0,centers 1,centers 2,centers 3,score,MILLISEC
943.7669203781196,972.8310178587542,952.3975010467005,968.6841590528876,-2.6213838004552397,38933
1039.0327232575498,954.2400117370892,1021.806178795899,994.80098512215,-53.2659490464539,38966
1064.2156736301154,1006.8069414527791,1032.1070680893529,972.1537944173236,-97.56528500035,39000
1035.9985521225403,993.27186610716,1022.7433676258775,1008.6084473173919,-0.007954558521418787,39033
1032.6417578231087,1127.2910005850308,1097.663427467637,1045.229495565359,-24.60320037009418,39066
1188.2596517596648,1027.6434876805415,1144.7052022245728,1053.858149847502,-80.72445554562373,39100
1038.3684317235382,1138.5916554174428,989.4650069608324,997.3234179542762,-14.084427533480817,39133
978.3197231488491,1085.4096001049559,988.0298578484357,1081.7009753161915,-1.038595918275603,39166
957.6147079608398,1009.5177066302502,1043.3345580397497,992.7930297901975,-135.14219415067288,39200
1041.4230648492476,922.8609140615065,995.166820186445,999.3327774070057,-0.46659512178151175,39233
911.4126398070196,1017.1345057430731,994.8416959496622,925.6246539499691,-10.794453588468059,39266
952.4904198993289,1002.929793506114,966.814873696097,1019.5190042368018,-45.658595567187945,39300
1019.6612182484926,964.5909808224968,1003.451045143708,990.5680188659434,-2.479431787204345,39333
1003.7519613928532,949.7936173649651,990.1843262746588,1020.9138063519368,-28.168825548391812,39366
930.8614030798899,1016.8151257726254,997.0732169705493,1022.0029354165281,-1.0965122774109701,39400
914.1755607525546,1021.2046807569969,1002.5572302866306,1027.9990272368939,-6.088245504913865,39433
994.9683412048847,907.7626341726124,1017.3669223550335,917.5761548776211,-36.09059569437571,39466
984.6948765988376,912.7924188992807,1024.4491733036245,933.7007015098575,-34.7826350407604,39500
955.5317891101269,997.4577213747475,930.7760203185297,972.5934402410907,-84.18813979343977,39533
980.4764148106776,939.0622982528902,965.0455947777805,969.2431814506022,-2.3104230305041917,39566
973.1335982279103,987.3697382439873,965.9663479927895,967.8104153190335,-0.029090946566983262,39600
969.6831373319618,1020.0480380844816,1036.1148584978405,994.3208737625898,-91.22634808731488,39633
984.8537962560738,1067.1834566036864,1013.1673109610279,997.3835771657763,-66.93990281557022,39666
1091.862170788969,1014.157539800157,1084.0078413000526,1018.7153675094924,-1.9689329858573923,39700
1070.9428752818076,1033.0929290242964,1100.870110412668,1000.3859255307424,-48.71576626993905,39733
1084.5432218219798,1231.3277386626194,1138.6346313752665,1097.390085612222,-0.35246582278448907,39766
1191.6748717666242,1264.2966424063618,1238.0612217135872,1203.9078037790102,-10.822578119467519,39800
1308.579764477504,1129.4790834716684,1213.520910409046,1283.4857245087705,-11.789964392100494,39833
1132.313403937849,957.8883024653762,1046.9126038022466,1174.645478431684,-52.71052536324867,39866
992.061490029726,828.9734615776309,963.8389890561339,977.1663113308808,-0.8063504994698367,39900
946.7854527021577,1040.3297554141186,892.731762625258,963.7017173378908,-43.6131031407361,39933
908.0627390538652,1078.16186168868,1031.1445097560284,1065.7640451807333,-0.12388398389674532,39966
876.7958713406445,1083.4902679389775,903.3936019255394,1055.0118482747007,-7.678563045572551,40000
999.9916721992813,1062.4739996818746,930.366056990473,1084.601770236431,-102.31106417021343,40033
1025.6814518862411,934.580654625378,896.7864851791646,1004.5820026259678,-49.118513064685885,40066
943.267541236158,875.6563252783594,907.2188269651374,966.656091896182,-35.691300586126246,40100
921.3625775564591,896.5829576787638,879.1325269832757,902.4860109719153,-0.0013570359142361062,40133
900.3903277941354,963.0893001170764,883.1647637898604,911.7022540281449,-0.5152295387222461,40166
926.7882007691982,975.1481938659375,941.5396964546954,950.499342451114,-29.261829984884642,40200
978.7430051166167,935.4838320355943,960.6424933345392,944.9428554150775,-26.259870588789735,40233
994.3414906358881,960.6177218036853,976.1895307777071,958.0443622296413,-0.18511339527996634,40266
938.111933619864,984.5934521530373,1014.8142687211291,963.3348327554652,-5.467954729200303,40300
972.3466460064539,918.1351671875461,992.2303160053114,938.0293172390723,-46.629546993224224,40333
1001.4214896835398,931.9951511466104,978.8059051722155,913.7253416645508,-60.07647841365501,40366
1033.9758217676078,925.4998649378616,964.2826326797414,1004.2360280332507,-57.008624453894676,40400
1030.4390227608671,967.5127906131268,1082.7603612988426,1054.557253068794,-45.84074325808307,40433
1105.4492299513352,1069.0804459908525,1051.8343795866626,1075.6370205603748,-3.875839081006344,40466
1221.6754888267178,1167.2621813457336,1201.5510808950237,1216.4965199376543,-2.4339591530843014,40500
1312.4145898740644,1233.3231531111383,1278.714979970126,1322.0079424874875,-3.8885713824122945,40533
1159.7805826965719,1295.1003250627705,1224.8167209831845,1113.173391704994,-180.29604461247442,40566
931.5852081264494,1172.0435127942424,1052.7435585174578,973.2394361101486,-151.00823386617608,40600
866.9786617904733,990.4726503625487,940.2499667641579,914.7824878078942,-15.857767576577674,40633
921.3213337375837,1032.7782079272158,876.5780056560853,979.150652351312,-198.3464612970038,40666
1171.0610573321956,946.6879105597578,1111.7935483327738,976.8807501430254,-328.21177123976463,40700
1008.2833472220179,1224.08169661996,1121.7900873158044,1255.9721334488277,-88.38342952750236,40733
1217.1739584302663,1020.6669388199072,993.327740476425,1044.6420439557276,-106.10983839317574,40766
1070.140644962147,949.9254598803539,1051.7537734660143,973.6108051988741,-109.24134219633581,40800
903.1054575872139,948.3127121366664,930.9683131020089,913.287468434775,-0.06495237810885401,40833
863.4772724281746,893.554603656666,794.013853783421,918.6305024328334,-6.340567957137882,40866
772.9197888526338,911.534862363429,728.6542389913064,879.9943181634754,-1.3893921688263517,40900
920.0427565215361,806.3504201028235,875.7653795395203,938.6831201209491,-11.652344506681787,40933
953.6431661763415,843.8566228927756,915.7002784754409,864.9930635560033,-9.423210325525698,40966
945.2327755637762,861.4609683555025,919.8542514114092,946.2489101711029,-0.31232071210184187,41000
