center 0,center 1,center 2,center 3,score,MILLISEC
965.6412311651266,1121.226598827188,1030.78123734683,1219.738496563915,-2576.041795380225,66499
1065.3457523122554,634.3279908690771,972.4129250831603,1262.1667877107209,-3760.227776998522,66533
985.0403476241556,208.57133072404747,1138.4587883087472,893.5160882714983,-5212.84328263196,66566
1019.507458555985,1204.710215163801,895.8761075059431,957.6737319612582,-2792.8552004278968,66599
1001.8839201673862,2376.2198972317356,1304.2140486028457,950.3186374880754,-4440.068399746709,66633
1016.1091660969705,1133.6816131524758,788.3463705757767,954.8589836634678,-2045.2568807223236,66666
1047.4150856186811,947.0414963071846,1002.8348966329647,919.0149457894479,-983.4630115713056,66699
963.87230976558,997.9302354430088,1042.970158382223,927.3882682026983,-915.2347931251609,66733
1004.0033542872886,968.9448657368245,1056.612038545842,1024.816826132418,-275.6010162400959,66766
1014.1526837135623,958.8183030553805,1061.4460548674915,889.4650077434187,-1086.4733639539807,66799
992.397625509289,902.7245390185661,1049.982045102248,1081.895183349647,-515.8179900959074,66833
1015.7505618591581,922.273310776803,1058.9300747235086,961.7588055224657,-856.4521730661361,66866
1015.1457770623476,947.0455129731279,981.0610016084637,1044.0872836180756,-682.2245634078141,66899
1019.786467758847,905.0408830544618,953.671447900944,995.1400594255618,-853.126176171493,66933
1062.5871269061658,993.2349202391596,950.136430440409,1028.5189966561634,-802.315988753577,66966
976.8019841417167,1008.7534444835751,1047.0156884499013,897.3410722796544,-1208.9729800744344,66999
1084.9690334732534,989.7223028130586,954.9448701481563,1023.7177220035262,-1203.3753305647388,67033
957.5904960387562,1037.8474554874624,1126.4324214084038,1010.4199052396723,-1356.5902859494026,67066
976.2680281475793,1059.9695559423328,1019.928305142032,1084.9211864263827,-584.8254148231006,67099
1079.2969934174746,977.4922998127863,1145.5596885365685,1018.9670681440934,-1926.7854159923006,67133
1025.7321967073144,978.4516794584384,1073.003685167555,1049.3907756408,-533.1199724602978,67166
1042.6430749364008,996.7661516033371,915.2535167919324,976.7241166265937,-301.86823803315144,67199
1088.1599189951378,984.623790181399,1015.2012090339256,934.9192478497808,-685.9693244786549,67233
1015.9799661173149,1076.5428396890807,995.7460886044504,1044.280847061563,-115.08700964100663,67266
1033.8331849657754,1012.0291301669523,1076.2184295118007,991.0826540645778,-180.03131758028925,67299
993.4690478249581,1365.5105272388053,1039.5379406435814,1096.9813125117491,-2069.734918863333,67333
950.1450102811691,1097.9842486539208,1328.2733152480328,1022.8032237092932,-1423.5158486378236,67366
993.0548507003211,1099.622730607853,1168.3555115483102,932.0584745604752,-2651.000897895936,67399
1010.1851497098543,1179.9546601458887,1072.9992120369998,948.8800365386954,-3800.969611275541,67433
983.9463024902442,1119.473090342059,908.0790316909048,1055.2002005223899,-3047.060936293923,67466
1024.4120443235822,858.473673547448,954.4324095423048,1075.7341679058075,-2076.6720625879525,67499
1011.5119444108752,1258.1343005117722,1600.1965504274779,1124.2573548279006,-12949.481867035312,68599
1272.2468313971153,997.1047692002994,1108.8821727712918,1403.642760819148,-8955.703830163991,68633
1201.417765662222,978.2234557047697,1138.7349135872614,1029.1865720072333,-1265.4853956733027,68666
985.0674817347989,1265.381991780403,1111.7256449771605,819.9201180602901,-11919.133569229825,68699
1171.6213009367748,515.283417159916,1416.6121200828725,963.6435089963577,-27519.061510242973,68733
1398.9531800600048,1016.0584046204478,456.7274898667695,1200.5092881789437,-23370.38798509397,68766
1172.5376518322937,871.7089897734662,1732.3152138106968,1052.9161662264403,-10569.973898153738,68799
902.3002338778431,1734.3180215865832,649.0500751097715,1049.3554941557702,-18944.90408367398,68833
1085.4243079327423,686.516086697904,433.20895650944243,993.1717224849929,-4490.473122206002,68866
793.9842567708757,1020.3220303295611,592.1297096022186,883.346326523022,-5880.075394323259,68899
580.1585990054789,1012.4519961780379,861.3171659081645,1232.729491818866,-14555.52030006213,68933
1099.4462597319246,895.3219803480083,1361.3746728950116,799.9128867446775,-12531.01156416184,68966
