,centers 0,centers 1,score,MILLISEC
0,991.1692788387131,301.4171097621611,-270983.7354383725,95466
1,972.2921787553367,329.3447500972612,-202555.7675638945,95499
2,958.8689889417595,302.03840648906066,-201494.65880092853,95532
3,940.6397951376941,264.06602636102684,-271186.7235439773,95566
4,962.5890021280204,325.0369494222108,-224914.94673830477,95599
5,948.3541208768039,289.6459890077001,-169378.64827873913,95632
6,942.6829127764488,246.9142271262457,-127523.19907887024,95666
7,265.72813432857777,961.2666735970719,-94380.73244256222,95699
8,952.1609200996546,255.56259922948357,-145705.92949492697,95732
9,1018.3246374625255,370.70399572864886,-177422.6615431251,95766
10,1038.6786018577254,289.63722488643657,-368957.58248650614,95799
11,246.5263250932013,1104.6395223767527,-679252.2648323639,95832
12,1089.5667998122333,275.5766568703099,-413748.5508917767,95866
13,1108.8150510132796,222.88603310585927,-508476.3699744437,95899
14,1122.503273385338,198.11008055259526,-204452.40500020338,95932
15,1104.9687904501086,201.01462296918862,-433861.01164102857,95966
16,1068.7797348358845,345.1091116834833,-497774.73700246913,95999
17,352.7918275295433,1045.9096307537134,-490613.45875618607,96032
18,1019.6437658733865,229.94606490726358,-220690.05458068763,96066
19,999.6596258375573,270.08279358674076,-233212.23829081567,96099
20,1004.3025347242295,293.8019856274384,-241213.71716090257,96132
21,990.2163536231129,310.2877517834935,-283340.84759166423,96166
22,1007.9724167093844,254.00193490740253,-264145.9799446609,96199
23,1052.3334538401193,337.20823615176266,-429654.5546774002,96232
24,1060.2171731557287,202.2596847501203,-310669.3573756115,96266
25,1070.5385907373043,148.06026278406216,-323112.7719544286,96299
26,1024.0323924043191,206.350210279556,-397466.5710840051,96332
27,1072.9493208545691,286.20571179588705,-205021.53072054856,96366
28,1087.093382487432,395.5544805771415,-377043.90850928175,96399
29,1047.8473088437802,411.6356413019371,-298097.6087090813,96432
30,1205.8659407647644,573.920738795764,-892599.5597100062,97966
31,1020.0659937154996,2142.183818040851,-2431980.101545552,97999
32,1139.1104870126733,2770.896797348403,-3425897.5460659815,98032
33,984.949252830546,2390.5324507134883,-2799342.8872683947,98066
34,2928.1734921278144,1059.2238694000357,-2427134.8898643265,98099
35,986.2128291610279,2351.1297284497086,-1739127.111964022,98132
36,1206.3736390527813,720.6413667863249,-1003871.5227918483,98166
37,1319.8607312771687,888.048634460509,-605446.2698870325,98199
38,960.989228477464,1467.5582612142282,-473915.89933080494,98232
39,1006.5985173348598,1777.2256469002466,-535872.4979852398,98266
40,2243.767813299763,1023.1347021939933,-1115584.6233281696,98299
41,1038.06583699175,2902.052377197903,-2287276.361412343,98332
42,975.6727988817165,2998.297594601876,-1599697.269333242,98366
43,1040.0880909721434,3734.2766775808823,-2506367.8878915035,98399
44,1022.0153237887581,4044.8545934867275,-2302886.5159768756,98432
45,4120.852611689889,1121.7064962267166,-3187396.695590111,98466
46,1146.2027272688897,4246.104319615573,-4498579.0659097675,98499
47,1138.5741602033897,3750.795959301189,-3873095.88597824,98532
48,1092.2872706892326,4046.8270819463905,-2747000.035700594,98566
49,1228.389747341435,4022.826978402877,-3842910.6207779455,98599
50,1174.5095037912972,3773.5402180046167,-3182852.1259733466,98632
51,1063.6611926676499,2847.5363018959615,-3993349.9223286808,98666
52,1070.3987309040965,4120.687078631427,-767839.1375779886,98699
53,1635.387025401018,1040.132283980192,-394601.3589208555,98732
54,1133.8902887925178,2592.4391918849337,-921329.5194163674,98766
