,centers 0,centers 1,centers 2,score,MILLISEC
0,99.24404305296275,991.1692788387131,503.5901764713596,-107487.9398279645,95466
1,972.2921787553367,513.9649468269629,144.72455336755945,-66217.29940183937,95499
2,226.32752536854332,985.3058515459376,683.4520295571538,-79302.207304298,95532
3,116.4301908522757,958.1006442318507,494.8899777902484,-142595.2393247122,95566
4,962.5890021280204,488.42487566600624,161.6490231784153,-118132.48896931305,95599
5,948.3541208768039,157.92422592498372,421.3677520904165,-99976.15680026212,95632
6,875.5730328425998,246.9142271262457,989.6598287301431,-73928.74086051619,95666
7,203.50998528787022,961.2666735970719,452.38258145070085,-47927.55560194166,95699
8,869.6747639606434,255.56259922948357,997.1533689027516,-82614.60882509866,95732
9,1018.3246374625255,433.9234588835002,117.82614310924384,-97488.65111137312,95766
10,1008.199377135234,289.63722488643657,1495.866972695099,-146001.62896231233,95799
11,1064.5585741887876,246.5263250932013,1705.8537451962286,-293696.4869972422,95832
12,193.39178548069276,1203.3029237367343,934.5512832811818,-194374.14930483908,95866
13,222.88603310585927,1076.9834788471867,1618.1202056707655,-232872.64562871534,95899
14,1039.2997779210384,198.11008055259526,1241.3654097629083,-36326.73617574535,95932
15,1022.0271914334035,201.01462296918862,1304.0286280902008,-153185.2106651548,95966
16,1311.2384035375433,345.1091116834833,994.1770675430664,-190277.65931450832,95999
17,1090.209537619819,249.39991308907668,795.1244417466509,-229931.8357607149,96032
18,1274.3360164931728,229.94606490726358,987.8072345459133,-74736.73389770045,96066
19,1083.7465597878547,270.08279358674076,915.5726918872599,-105941.21398990566,96099
20,1075.9363120763935,293.8019856274384,891.7351703136862,-96068.4578134169,96132
21,967.7798248515066,310.2877517834935,1371.6373427404199,-129301.11365601451,96166
22,982.4719214683247,254.00193490740253,1441.4808358074,-65161.75113763207,96199
23,968.8088387648017,230.75486441760984,1245.7283309822565,-203021.35423222792,96232
24,1226.8201186545791,202.2596847501203,990.7992791978744,-114060.5221126202,96266
25,1031.705652615244,148.06026278406216,1361.785626652757,-130843.14384747826,96299
26,941.8590249294789,206.350210279556,1221.2484743439354,-121966.10834007626,96332
27,1003.6627399291764,286.20571179588705,1188.4269557302237,-77004.72281838853,96366
28,1375.1763321433623,1045.9386753937276,395.5544805771415,-187348.39792079877,96399
29,1137.5817518064034,411.6356413019371,906.8360413310868,-70333.3929583916,96432
30,1133.9328890075035,573.920738795764,1637.46425130833,-457952.98916053306,97966
31,1184.3184612712091,2142.183818040851,445.1823572705166,-732311.0963627705,97999
32,275.1601979696485,2770.896797348403,1301.1011662082403,-766811.5579135455,98032
33,1084.7456347806256,2390.5324507134883,236.47638820495035,-1529529.8613518125,98066
34,2928.1734921278144,1147.2112413418304,267.3375219238827,-1033614.9180440544,98099
35,1088.403458965252,2351.1297284497086,407.1325936037588,-555595.6323885081,98132
36,1009.7641220237576,328.0896579571986,1545.1943245607456,-385709.5366962797,98166
37,960.6139771530634,1319.8607312771687,452.65657830518353,-163125.03723965414,98199
38,1467.5582612142282,997.1588610200885,346.10547525284824,-73593.74994065073,98232
39,1038.5263340959095,1777.2256469002466,399.96999887491563,-148506.0143969169,98266
40,1124.513892223184,2243.767813299763,718.9971321064213,-498920.21306968445,98299
41,1140.857994643044,2902.052377197903,455.57694363441817,-1089770.5582900515,98332
42,1024.5603188261362,2998.297594601876,95.69743988216192,-782320.823973158,98366
43,920.1786959964205,3734.2766775808823,1679.6048641759985,-1049370.5702091875,98399
44,958.8673292312975,4044.8545934867275,2158.6792258230494,-939103.6438897316,98432
45,981.9138130439057,4120.852611689889,1867.2674732017072,-1207141.2760832077,98466
46,962.1363205303353,4246.104319615573,2127.8902298745134,-1065360.9341592793,98499
47,2299.054298562599,4203.298826865162,1027.6851382591537,-1322245.0465506334,98532
48,1092.2872706892326,3562.0057854292845,5016.4696749806035,-1336689.8983614258,98566
49,1065.5548092244358,4022.826978402877,2042.5644379264318,-1456541.0843369132,98599
50,1055.8131774416383,3773.5402180046167,2064.731951413738,-1386527.8451379978,98632
51,4465.61238801578,1063.6611926676499,2443.017280366007,-720637.1467376412,98666
52,1733.4015691697064,1035.5038446795909,4120.687078631427,-305130.96542193124,98699
53,922.6182000284994,1635.387025401018,1170.7034883709616,-103066.2049062957,98732
54,983.3894341959872,2592.4391918849337,1301.113460566441,-443152.1444703274,98766
55,1061.77831539623,2620.479082393648,3677.541298204549,-743544.3186528883,98799
56,1030.5431465218242,3401.198812227506,1668.2857234689527,-645092.579356328,98832
57,1009.7627380374324,3509.6825293762513,2011.9613655533822,-615669.9619528591,98866
58,1049.616201129599,3926.1048126610176,2662.2315634300066,-500187.42357764294,98899
59,2048.194910776153,1039.5530404346423,3437.872016233298,-687072.0478521151,98932
60,997.0294502045448,1868.872351133812,2820.731288159154,-723455.0877247282,98966
61,1268.7085841857986,2307.9415522649597,983.035250337858,-195123.80884861934,98999
62,1054.65443245486,1626.397540354002,669.3710288780378,-269918.41061481216,99032
63,971.5589724303215,590.1743504604308,1208.9965003830664,-79352.83968374533,99066
64,1201.6314498023444,963.711631411521,682.7874754386572,-59028.36702027182,99099
65,1061.1172295694896,1725.214063004611,809.0019897539748,-223417.695207276,99132
66,978.6204863535797,2331.7178542227475,1517.1982605699159,-428613.52016916487,99166
67,3316.544285849354,1018.9764795393535,2373.658724942322,-375332.65299052594,99199
68,1055.6166038578515,2695.933650047995,3684.2292273961457,-394359.219830153,99232
69,1076.968035189326,2602.2270458808016,3456.9966012657715,-393602.2711142954,99266
70,1088.784301648177,3227.3378730836966,2235.5971301001273,-519214.1059317132,99299
71,1040.2399322484298,2617.2601885686613,1587.0464006665038,-428527.3495297901,99332
72,1150.1335195423737,1976.732910638157,909.2484483300309,-167893.6044232363,99366
73,998.0893702338126,1252.9723736894264,619.0430025772532,-179394.1277560482,99399
74,2741.990830186158,505.171349563563,1156.1047881635197,-1416616.9864513204,99432
75,1018.9124438602631,3645.575263247215,2107.8464664593907,-1131575.161197985,99466
76,1005.3108561053606,2699.631549945455,4238.103939263406,-806545.4758189246,99499
77,1523.4363138307847,3607.388578450651,990.6924695890284,-1535221.78579027,99532
78,2998.720393767982,1076.986336339393,4098.0159811122885,-1303605.801185115,99566
